Anno,Codice territoriale,Entita.territoriale,Denominazione territoriale,Sesso,Classi.di.eta,Decessi,Tasso di mortalità (per mille abitanti)
2015,224,Ripartizione,Centro,Maschi,14-Oct,26,0.1
2015,224,Ripartizione,Centro,Femmine,14-Oct,12,0
2015,224,Ripartizione,Centro,Maschi e femmine,14-Oct,38,0.1
2015,224,Ripartizione,Centro,Maschi,15-19,87,0.3
2015,224,Ripartizione,Centro,Femmine,15-19,27,0.1
2015,224,Ripartizione,Centro,Maschi e femmine,15-19,114,0.2
2015,224,Ripartizione,Centro,Maschi,20-24,128,0.4
2015,224,Ripartizione,Centro,Femmine,20-24,49,0.2
2015,224,Ripartizione,Centro,Maschi e femmine,20-24,177,0.3
2015,224,Ripartizione,Centro,Maschi,25-29,148,0.5
2015,224,Ripartizione,Centro,Femmine,25-29,55,0.2
2015,224,Ripartizione,Centro,Maschi e femmine,25-29,203,0.3
2015,224,Ripartizione,Centro,Maschi,30-34,178,0.5
2015,224,Ripartizione,Centro,Femmine,30-34,69,0.2
2015,224,Ripartizione,Centro,Maschi e femmine,30-34,247,0.3
2015,224,Ripartizione,Centro,Maschi,35-39,304,0.7
2015,224,Ripartizione,Centro,Femmine,35-39,176,0.4
2015,224,Ripartizione,Centro,Maschi e femmine,35-39,480,0.6
2015,224,Ripartizione,Centro,Maschi,40-44,525,1.1
2015,224,Ripartizione,Centro,Femmine,40-44,323,0.6
2015,224,Ripartizione,Centro,Maschi e femmine,40-44,848,0.9
2015,224,Ripartizione,Centro,Maschi,45-49,914,1.9
2015,224,Ripartizione,Centro,Femmine,45-49,583,1.1
2015,224,Ripartizione,Centro,Maschi e femmine,45-49,1497,1.5
2015,224,Ripartizione,Centro,Maschi,50-54,1378,3
2015,224,Ripartizione,Centro,Femmine,50-54,910,1.9
2015,224,Ripartizione,Centro,Maschi e femmine,50-54,2288,2.4
2015,224,Ripartizione,Centro,Maschi,55-59,1974,5.1
2015,224,Ripartizione,Centro,Femmine,55-59,1260,3
2015,224,Ripartizione,Centro,Maschi e femmine,55-59,3234,4
2015,224,Ripartizione,Centro,Maschi,60-64,2926,8.5
2015,224,Ripartizione,Centro,Femmine,60-64,1753,4.6
2015,224,Ripartizione,Centro,Maschi e femmine,60-64,4679,6.5
2015,224,Ripartizione,Centro,Maschi,65-69,4518,13.1
2015,224,Ripartizione,Centro,Femmine,65-69,2728,7.1
2015,224,Ripartizione,Centro,Maschi e femmine,65-69,7246,9.9
2015,224,Ripartizione,Centro,Maschi,70-74,5980,22
2015,224,Ripartizione,Centro,Femmine,70-74,3903,12.2
2015,224,Ripartizione,Centro,Maschi e femmine,70-74,9883,16.7
2015,224,Ripartizione,Centro,Maschi,75-79,9194,36.5
2015,224,Ripartizione,Centro,Femmine,75-79,6734,21
2015,224,Ripartizione,Centro,Maschi e femmine,75-79,15928,27.8
2015,224,Ripartizione,Centro,Maschi,80-84,11936,69
2015,224,Ripartizione,Centro,Femmine,80-84,11377,44.7
2015,224,Ripartizione,Centro,Maschi e femmine,80-84,23313,54.5
2015,224,Ripartizione,Centro,Maschi,85-89,12482,131.3
2015,224,Ripartizione,Centro,Femmine,85-89,16555,92.5
2015,224,Ripartizione,Centro,Maschi e femmine,85-89,29037,106
2015,224,Ripartizione,Centro,Maschi,90-94,8011,230.4
2015,224,Ripartizione,Centro,Femmine,90-94,16294,183.7
2015,224,Ripartizione,Centro,Maschi e femmine,90-94,24305,196.8
2015,224,Ripartizione,Centro,Maschi,95 e più,2200,386.3
2015,224,Ripartizione,Centro,Femmine,95 e più,6687,323.8
2015,224,Ripartizione,Centro,Maschi e femmine,95 e più,8887,337.3
2015,224,Ripartizione,Centro,Maschi,Totale,63119,10.8
2015,224,Ripartizione,Centro,Femmine,Totale,69636,11.1
2015,224,Ripartizione,Centro,Maschi e femmine,Totale,132755,11
2015,225,Ripartizione,Mezzogiorno,Maschi,0-4,346,0.7
2015,225,Ripartizione,Mezzogiorno,Femmine,0-4,319,0.7
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,0-4,665,0.7
2015,225,Ripartizione,Mezzogiorno,Maschi,9-May,42,0.1
2015,225,Ripartizione,Mezzogiorno,Femmine,9-May,31,0.1
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,9-May,73,0.1
2015,225,Ripartizione,Mezzogiorno,Maschi,14-Oct,57,0.1
2015,225,Ripartizione,Mezzogiorno,Femmine,14-Oct,34,0.1
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,14-Oct,91,0.1
2015,225,Ripartizione,Mezzogiorno,Maschi,15-19,208,0.4
2015,225,Ripartizione,Mezzogiorno,Femmine,15-19,72,0.1
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,15-19,280,0.3
2015,225,Ripartizione,Mezzogiorno,Maschi,20-24,246,0.4
2015,225,Ripartizione,Mezzogiorno,Femmine,20-24,86,0.1
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,20-24,332,0.3
2015,225,Ripartizione,Mezzogiorno,Maschi,25-29,289,0.4
2015,225,Ripartizione,Mezzogiorno,Femmine,25-29,116,0.2
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,25-29,405,0.3
2015,225,Ripartizione,Mezzogiorno,Maschi,30-34,435,0.7
2015,225,Ripartizione,Mezzogiorno,Femmine,30-34,171,0.3
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,30-34,606,0.5
2015,225,Ripartizione,Mezzogiorno,Maschi,35-39,597,0.8
2015,225,Ripartizione,Mezzogiorno,Femmine,35-39,316,0.4
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,35-39,913,0.6
2015,225,Ripartizione,Mezzogiorno,Maschi,40-44,1006,1.3
2015,225,Ripartizione,Mezzogiorno,Femmine,40-44,622,0.8
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,40-44,1628,1
2015,225,Ripartizione,Mezzogiorno,Maschi,45-49,1779,2.3
2015,225,Ripartizione,Mezzogiorno,Femmine,45-49,1055,1.3
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,45-49,2834,1.8
2015,225,Ripartizione,Mezzogiorno,Maschi,50-54,2730,3.6
2015,225,Ripartizione,Mezzogiorno,Femmine,50-54,1678,2.1
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,50-54,4408,2.8
2015,225,Ripartizione,Mezzogiorno,Maschi,55-59,3777,5.6
2015,225,Ripartizione,Mezzogiorno,Femmine,55-59,2389,3.3
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,55-59,6166,4.4
2015,225,Ripartizione,Mezzogiorno,Maschi,60-64,5575,9.3
2015,225,Ripartizione,Mezzogiorno,Femmine,60-64,3162,4.9
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,60-64,8737,7
2015,225,Ripartizione,Mezzogiorno,Maschi,65-69,8677,15.1
2015,225,Ripartizione,Mezzogiorno,Femmine,65-69,4954,7.9
