Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Umbria,430099,466643,896742,3535,3480,7015,4734,5173,9907,-1199,-1693,-2892,7382,7958,15340,1636,2184,3820,1038,799,1837,7482,8090,15572,1112,1208,2320,1175,1018,2193,287,625,912,427096,463033,890129,2091,2542,4633,0,0,0,429187,465575,894762,382923,475,2.32
Lazio,2829247,3041204,5870451,26003,24357,50360,26868,28069,54937,-865,-3712,-4577,55176,56946,112122,19362,16448,35810,11242,9155,20397,51367,52129,103496,5808,5198,11006,15301,11975,27276,13304,13247,26551,2826462,3029987,5856449,15224,20752,35976,0,0,0,2841686,3050739,5892425,2633678,3282,2.22
Campania,2850178,3019787,5869965,26504,24739,51243,25546,26331,51877,958,-1592,-634,58962,56118,115080,11728,8467,20195,8793,7570,16363,67644,64805,132449,4583,3449,8032,10349,8610,18959,-3093,-4709,-7802,2843312,3006007,5849319,4731,7479,12210,0,0,0,2848043,3013486,5861529,2159143,1555,2.71
Abruzzo,648710,685229,1333939,5430,5104,10534,7088,7294,14382,-1658,-2190,-3848,12948,13653,26601,2510,2629,5139,1655,1321,2976,13051,14178,27229,1555,1319,2874,1747,1383,3130,760,723,1483,645769,681758,1327527,2043,2004,4047,0,0,0,647812,683762,1331574,554710,456,2.39
Molise,153763,160962,314725,1184,1029,2213,1819,1742,3561,-635,-713,-1348,2512,2445,4957,513,426,939,401,357,758,2692,2896,5588,330,263,593,273,229,502,131,-160,-29,152697,159610,312307,562,479,1041,0,0,0,153259,160089,313348,131108,163,2.38
Puglia,1983757,2106509,4090266,17174,16017,33191,18175,18704,36879,-1001,-2687,-3688,23645,23589,47234,5933,5095,11028,7717,6478,14195,28123,27867,55990,3545,2698,6243,4156,2541,6697,1471,2056,3527,1978876,2099185,4078061,5351,6693,12044,0,0,0,1984227,2105878,4090105,1584174,1193,2.57
Basilicata,283265,295126,578391,2080,2043,4123,3033,2931,5964,-953,-888,-1841,3135,2910,6045,1014,840,1854,732,711,1443,3854,3914,7768,427,394,821,387,297,684,213,-144,69,281663,293312,574975,862,782,1644,0,0,0,282525,294094,576619,232266,258,2.48
Calabria,966217,1014316,1980533,8547,7943,16490,9680,9596,19276,-1133,-1653,-2786,15016,14158,29174,4477,3706,8183,1936,1699,3635,17483,17358,34841,2035,1529,3564,2035,1668,3703,-124,-992,-1116,961324,1009074,1970398,3636,2597,6233,0,0,0,964960,1011671,1976631,800184,864,2.46
Sicilia,2470628,2624309,5094937,23100,21776,44876,24288,25377,49665,-1188,-3601,-4789,40240,39506,79746,10833,6092,16925,6530,5115,11645,44166,43834,88000,5580,4399,9979,4927,3478,8405,2930,-998,1932,2461113,2610971,5072084,11257,8739,19996,0,0,0,2472370,2619710,5092080,2025122,2979,2.5
Sardegna,814953,848906,1663859,5954,5519,11473,7923,7522,15445,-1969,-2003,-3972,14469,15107,29576,1834,1986,3820,2862,2052,4914,14828,15789,30617,1556,1305,2861,730,703,1433,2051,1348,3399,812207,845058,1657265,2828,3193,6021,0,0,0,815035,848251,1663286,714514,802,2.32
