Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Umbria,429187,465575,894762,3376,3166,6542,5128,5683,10811,-1752,-2517,-4269,7753,8116,15869,1714,2070,3784,715,537,1252,7591,8155,15746,1249,1162,2411,1115,945,2060,227,461,688,425615,461058,886673,2047,2461,4508,0,0,0,427662,463519,891181,383427,494,2.31
Lazio,2841686,3050739,5892425,24671,23560,48231,27868,30520,58388,-3197,-6960,-10157,52387,53634,106021,20476,15270,35746,8492,4772,13264,50631,51020,101651,6674,5885,12559,23923,10694,34617,127,6077,6204,2822398,3029160,5851558,16218,20696,36914,0,0,0,2838616,3049856,5888472,2632738,3389,2.22
Campania,2848043,3013486,5861529,26227,24778,51005,27519,29277,56796,-1292,-4499,-5791,56144,53648,109792,13405,7756,21161,4229,2808,7037,65475,63146,128621,4484,3477,7961,3850,2446,6296,-31,-4857,-4888,2840469,2996518,5836987,6251,7612,13863,0,0,0,2846720,3004130,5850850,2160400,1816,2.7
Abruzzo,647812,683762,1331574,5262,4976,10238,7367,7998,15365,-2105,-3022,-5127,12418,13192,25610,2714,2806,5520,1107,843,1950,12822,13787,26609,1780,1492,3272,1892,1241,3133,-255,321,66,643344,679083,1322427,2108,1978,4086,0,0,0,645452,681061,1326513,555928,478,2.38
Molise,153259,160089,313348,1141,1040,2181,1917,1967,3884,-776,-927,-1703,2403,2318,4721,1566,493,2059,117,83,200,2776,2734,5510,402,310,712,242,134,376,666,-284,382,151965,158369,310334,1184,509,1693,0,0,0,153149,158878,312027,131257,185,2.36
Puglia,1984227,2105878,4090105,16183,15394,31577,19231,20294,39525,-3048,-4900,-7948,23770,23439,47209,6814,4717,11531,2375,1472,3847,27479,27568,55047,3779,2992,6771,3627,2133,5760,-1926,-3065,-4991,1973850,2092511,4066361,5403,5402,10805,0,0,0,1979253,2097913,4077166,1590476,1256,2.56
Basilicata,282525,294094,576619,2121,2001,4122,3174,3240,6414,-1053,-1239,-2292,2745,2862,5607,1428,809,2237,234,144,378,3657,3842,7499,503,375,878,276,202,478,-29,-604,-633,280198,291517,571715,1245,734,1979,0,0,0,281443,292251,573694,231754,258,2.47
Calabria,964960,1011671,1976631,8406,7970,16376,10129,10182,20311,-1723,-2212,-3935,13719,13276,26995,6125,3266,9391,954,650,1604,16845,16991,33836,2284,1642,3926,1477,926,2403,192,-2367,-2175,959036,1004642,1963678,4393,2450,6843,0,0,0,963429,1007092,1970521,802248,863,2.45
Sicilia,2472370,2619710,5092080,22251,21056,43307,25633,27484,53117,-3382,-6428,-9810,37444,37396,74840,11763,6035,17798,3669,2182,5851,43632,43670,87302,6406,5132,11538,5096,2562,7658,-2258,-5751,-8009,2452214,2598886,5051100,14516,8645,23161,0,0,0,2466730,2607531,5074261,2027633,3396,2.49
Sardegna,815035,848251,1663286,5769,5313,11082,8356,8172,16528,-2587,-2859,-5446,13898,14500,28398,2740,1795,4535,924,589,1513,14434,15421,29855,1668,1428,3096,669,528,1197,791,-493,298,810074,841767,1651841,3165,3132,6297,0,0,0,813239,844899,1658138,720646,810,2.29
