Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
011,La Spezia,106448,116623,223071,879,827,1706,1459,1631,3090,-580,-804,-1384,3110,3094,6204,849,1084,1933,106,50,156,2862,2960,5822,76,75,151,231,170,401,896,1023,1919,106505,116516,223021,259,326,585,0,0,0,106764,116842,223606,103574,93,2.15
012,Varese,424351,447097,871448,4416,4087,8503,3833,4178,8011,583,-91,492,14027,13697,27724,2625,3023,5648,316,156,472,13136,12781,25917,1015,858,1873,861,428,1289,1956,2809,4765,425542,446864,872406,1348,2951,4299,0,0,0,426890,449815,876705,367829,291,2.37
013,Como,286065,298697,584762,3128,2790,5918,2444,2822,5266,684,-32,652,9634,9484,19118,1886,2281,4167,186,102,288,8480,8417,16897,643,569,1212,533,295,828,2050,2586,4636,287823,298635,586458,976,2616,3592,0,0,0,288799,301251,590050,245864,261,2.39
014,Sondrio,89159,92925,182084,801,765,1566,898,865,1763,-97,-100,-197,1940,2095,4035,528,602,1130,32,17,49,1874,2080,3954,123,119,242,119,77,196,384,438,822,89040,92633,181673,406,630,1036,0,0,0,89446,93263,182709,77225,99,2.35
015,Milano,1906047,2024298,3930345,19903,18977,38880,16517,18186,34703,3386,791,4177,54106,51857,105963,18997,20845,39842,2124,1030,3154,53905,51532,105437,3440,2792,6232,5127,2769,7896,12755,16639,29394,1916665,2031256,3947921,5523,10472,15995,0,0,0,1922188,2041728,3963916,1794845,1066,2.2
016,Bergamo,534281,541311,1075592,6126,5934,12060,4260,4700,8960,1866,1234,3100,16075,14988,31063,4501,5410,9911,608,208,816,15229,14280,29509,969,719,1688,1480,601,2081,3506,5006,8512,537981,542454,1080435,1672,5097,6769,0,0,0,539653,547551,1087204,446051,381,2.42
017,Brescia,608867,621292,1230159,6973,6663,13636,5096,5516,10612,1877,1147,3024,17546,16468,34014,6071,6998,13069,820,354,1174,16487,15654,32141,1009,873,1882,2962,1532,4494,3979,5761,9740,612992,623281,1236273,1731,4919,6650,0,0,0,614723,628200,1242923,520874,489,2.37
018,Pavia,261656,277582,539238,2523,2360,4883,3066,3505,6571,-543,-1145,-1688,9614,9700,19314,2182,2602,4784,229,117,346,7815,8151,15966,337,283,620,769,409,1178,3104,3576,6680,263176,277547,540723,1041,2466,3507,0,0,0,264217,280013,544230,245109,262,2.21
019,Cremona,176339,183884,360223,1792,1601,3393,1910,2115,4025,-118,-514,-632,4870,4668,9538,1395,1635,3030,153,73,226,4606,4449,9055,265,201,466,525,278,803,1022,1448,2470,176206,182976,359182,1037,1842,2879,0,0,0,177243,184818,362061,151888,174,2.36
020,Mantova,200526,209249,409775,2098,2041,4139,2171,2284,4455,-73,-243,-316,5798,5844,11642,1981,2272,4253,232,109,341,5625,5577,11202,422,335,757,726,404,1130,1238,1909,3147,200949,208958,409907,742,1957,2699,0,0,0,201691,210915,412606,168244,172,2.44
021,Bolzano-Bozen,246437,252420,498857,2692,2540,5232,1860,1939,3799,832,601,1433,5574,5852,11426,1599,2206,3805,181,62,243,5070,5421,10491,714,713,1427,276,136,412,1294,1850,3144,245918,252327,498245,2645,2544,5189,0,0,0,248563,254871,503434,203160,458,2.45
022,Trento,254374,265426,519800,2733,2623,5356,2246,2376,4622,487,247,734,6864,7139,14003,2051,2716,4767,261,117,378,6155,6496,12651,573,491,1064,707,434,1141,1741,2551,4292,254797,265395,520192,1805,2829,4634,0,0,0,256602,268224,524826,222780,335,2.34
023,Verona,446078,462414,908492,4864,4525,9389,3995,4122,8117,869,403,1272,12509,12395,24904,4263,4576,8839,725,342,1067,12139,12165,24304,832,743,1575,2775,1538,4313,1751,2867,4618,446256,460278,906534,2442,5406,7848,0,0,0,448698,465684,914382,377640,436,2.4
024,Vicenza,425702,436066,861768,4512,4305,8817,3534,3839,7373,978,466,1444,10774,11320,22094,3017,3397,6414,342,160,502,10786,11249,22035,922,840,1762,1296,731,2027,1129,2057,3186,425822,432603,858425,1987,5986,7973,0,0,0,427809,438589,866398,345792,421,2.48
025,Belluno,103066,110960,214026,903,830,1733,1131,1318,2449,-228,-488,-716,2465,2633,5098,601,841,1442,59,44,103,2409,2754,5163,292,250,542,203,169,372,221,345,566,102512,109593,212105,547,1224,1771,0,0,0,103059,110817,213876,95671,127,2.22
026,Treviso,433536,445872,879408,4724,4358,9082,3535,3824,7359,1189,534,1723,12237,12601,24838,2995,3463,6458,350,195,545,12161,12378,24539,1288,1038,2326,1488,779,2267,645,2064,2709,433183,443892,877075,2187,4578,6765,0,0,0,435370,448470,883840,349463,399,2.51
027,Venezia,414600,439187,853787,3946,3591,7537,4021,4231,8252,-75,-640,-715,9178,9275,18453,3475,4171,7646,593,271,864,8719,8965,17684,741,662,1403,1306,727,2033,2480,3363,5843,415443,438795,854238,1562,3115,4677,0,0,0,417005,441910,858915,363929,352,2.35
028,Padova,449702,471201,920903,4648,4459,9107,3830,4076,7906,818,383,1201,12366,12977,25343,3346,4148,7494,499,261,760,11956,12668,24624,861,661,1522,1168,657,1825,2226,3400,5626,450316,470200,920516,2430,4784,7214,0,0,0,452746,474984,927730,372747,562,2.47
029,Rovigo,119979,127185,247164,1055,962,2017,1380,1546,2926,-325,-584,-909,2713,2815,5528,791,1098,1889,122,72,194,2711,2903,5614,184,185,369,351,235,586,380,662,1042,119264,125662,244926,770,1601,2371,0,0,0,120034,127263,247297,101904,115,2.4
030,Udine,262080,277643,539723,2217,2262,4479,2882,3118,6000,-665,-856,-1521,7746,8156,15902,1555,1979,3534,158,87,245,7227,7568,14795,635,541,1176,564,312,876,1033,1801,2834,260766,276701,537467,1682,1887,3569,0,0,0,262448,278588,541036,239330,252,2.25
031,Gorizia,69518,72943,142461,582,495,1077,766,892,1658,-184,-397,-581,2139,2029,4168,595,618,1213,108,49,157,2104,1966,4070,164,120,284,323,114,437,251,496,747,69157,72331,141488,428,711,1139,0,0,0,69585,73042,142627,65424,93,2.16
032,Trieste,111228,125165,236393,892,860,1752,1542,1913,3455,-650,-1053,-1703,1640,1705,3345,924,975,1899,26,13,39,1385,1308,2693,262,238,500,163,71,234,780,1076,1856,110513,123055,233568,845,2133,2978,0,0,0,111358,125188,236546,121147,198,1.93
033,Piacenza,139465,146457,285922,1352,1274,2626,1707,1847,3554,-355,-573,-928,4087,4103,8190,1507,1670,3177,114,43,157,3897,3866,7763,212,154,366,255,131,386,1344,1665,3009,139577,146423,286000,877,1126,2003,0,0,0,140454,147549,288003,128159,149,2.23
034,Parma,210282,222872,433154,2170,2027,4197,2313,2734,5047,-143,-707,-850,6498,6467,12965,2329,2585,4914,183,73,256,5890,5739,11629,321,340,661,499,301,800,2300,2745,5045,211343,223433,434776,1096,1477,2573,0,0,0,212439,224910,437349,199012,226,2.18
035,Reggio Emilia,256280,263178,519458,3001,2800,5801,2513,2738,5251,488,62,550,7002,6812,13814,2610,3516,6126,334,140,474,6673,6329,13002,392,387,779,921,453,1374,1960,3299,5259,258033,265303,523336,695,1236,1931,0,0,0,258728,266539,525267,220705,223,2.37
036,Modena,337357,350929,688286,3697,3454,7151,3273,3491,6764,424,-37,387,9812,9420,19232,3523,3902,7425,630,343,973,9601,9038,18639,500,433,933,1496,656,2152,2368,3538,5906,338976,352408,691384,1173,2022,3195,0,0,0,340149,354430,694579,293891,275,2.35
037,Bologna,470446,505729,976175,4658,4501,9159,5241,6032,11273,-583,-1531,-2114,16501,16263,32764,4227,5397,9624,696,334,1030,14976,14627,29603,764,623,1387,1422,725,2147,4262,6019,10281,471313,506334,977647,2812,3883,6695,0,0,0,474125,510217,984342,467910,691,2.09
038,Ferrara,171399,186581,357980,1430,1383,2813,2224,2449,4673,-794,-1066,-1860,3970,4052,8022,1268,1912,3180,241,126,367,3567,3732,7299,225,198,423,597,398,995,1090,1762,2852,170784,185797,356581,911,1480,2391,0,0,0,171695,187277,358972,161844,189,2.2
039,Ravenna,187454,198275,385729,1906,1755,3661,2076,2311,4387,-170,-556,-726,4062,4044,8106,1938,2496,4434,243,121,364,3425,3440,6865,263,254,517,660,356,1016,1895,2611,4506,188497,198517,387014,682,1813,2495,0,0,0,189179,200330,389509,173513,193,2.23
040,Forli'-Cesena,189543,198476,388019,1938,1784,3722,2036,2056,4092,-98,-272,-370,4917,4877,9794,1997,2537,4534,302,137,439,4196,4141,8337,326,273,599,708,443,1151,1986,2694,4680,190597,199344,389941,834,1554,2388,0,0,0,191431,200898,392329,164756,221,2.37
041,Pesaro e Urbino,187378,194352,381730,1836,1816,3652,1913,1896,3809,-77,-80,-157,4676,4650,9326,1306,1924,3230,188,105,293,4563,4449,9012,370,313,683,529,276,805,708,1641,2349,187486,194957,382443,523,956,1479,0,0,0,188009,195913,383922,156636,195,2.44
042,Ancona,230156,245860,476016,2358,2246,4604,2502,2655,5157,-144,-409,-553,5216,4994,10210,1701,2289,3990,181,110,291,5028,4904,9932,380,352,732,549,422,971,1141,1715,2856,230488,245808,476296,665,1358,2023,0,0,0,231153,247166,478319,200182,266,2.38
043,Macerata,156776,165722,322498,1519,1495,3014,1680,1724,3404,-161,-229,-390,3263,3449,6712,1568,1899,3467,181,117,298,3142,3274,6416,433,365,798,606,396,1002,831,1430,2261,156830,165649,322479,616,1274,1890,0,0,0,157446,166923,324369,127769,187,2.52
044,Ascoli Piceno,189431,199903,389334,1749,1601,3350,1988,1999,3987,-239,-398,-637,4208,4423,8631,1260,1783,3043,136,76,212,4108,4317,8425,316,252,568,318,206,524,862,1507,2369,189688,200372,390060,366,640,1006,0,0,0,190054,201012,391066,153418,145,2.54
045,Massa Carrara,98107,105591,203698,753,726,1479,1178,1310,2488,-425,-584,-1009,2001,1920,3921,540,703,1243,45,21,66,1940,1921,3861,140,102,242,104,70,174,402,551,953,97811,105243,203054,273,315,588,0,0,0,98084,105558,203642,90148,93,2.25
046,Lucca,187415,202785,390200,1661,1509,3170,2232,2459,4691,-571,-950,-1521,4510,4637,9147,1262,1707,2969,216,134,350,3927,4036,7963,220,230,450,335,215,550,1506,1997,3503,187941,202986,390927,409,846,1255,0,0,0,188350,203832,392182,166346,199,2.35
047,Pistoia,139708,150888,290596,1358,1197,2555,1460,1574,3034,-102,-377,-479,3655,3950,7605,953,1447,2400,210,113,323,3341,3645,6986,231,227,458,538,355,893,708,1283,1991,139997,151453,291450,317,341,658,0,0,0,140314,151794,292108,122302,120,2.38
048,Firenze,472253,512410,984663,4450,4324,8774,5245,5947,11192,-795,-1623,-2418,12862,13440,26302,4946,6603,11549,681,372,1053,12447,12717,25164,487,498,985,1858,1280,3138,3697,5920,9617,473032,512803,985835,2123,3904,6027,0,0,0,475155,516707,991862,433692,504,2.27
049,Livorno,163650,177041,340691,1449,1365,2814,1902,2126,4028,-453,-761,-1214,3005,3232,6237,1295,1568,2863,132,63,195,2812,2922,5734,278,266,544,641,400,1041,701,1275,1976,162774,176499,339273,1124,1056,2180,0,0,0,163898,177555,341453,152797,148,2.22
050,Pisa,199375,210903,410278,1987,1893,3880,2105,2309,4414,-118,-416,-534,6554,6610,13164,1537,2115,3652,188,76,264,5537,5726,11263,298,318,616,527,264,791,1917,2493,4410,200282,211888,412170,892,1092,1984,0,0,0,201174,212980,414154,173687,193,2.37
051,Arezzo,168458,177866,346324,1609,1435,3044,1866,2057,3923,-257,-622,-879,3687,3738,7425,1447,1731,3178,109,65,174,3391,3489,6880,298,286,584,365,266,631,1189,1493,2682,168958,177919,346877,432,818,1250,0,0,0,169390,178737,348127,143408,209,2.42
052,Siena,129947,139526,269473,1220,1206,2426,1542,1580,3122,-322,-374,-696,3752,3794,7546,1113,1782,2895,90,41,131,3495,3610,7105,215,221,436,266,177,443,979,1609,2588,129902,139609,269511,702,1152,1854,0,0,0,130604,140761,271365,117692,154,2.29
053,Grosseto,108461,117400,225861,938,844,1782,1351,1459,2810,-413,-615,-1028,2459,2543,5002,998,1253,2251,62,41,103,2183,2335,4518,176,172,348,173,87,260,987,1243,2230,108532,117607,226139,503,421,924,0,0,0,109035,118028,227063,103227,117,2.19
054,Perugia,319930,341752,661682,3204,2921,6125,3517,3558,7075,-313,-637,-950,6652,7023,13675,2732,4033,6765,207,104,311,5989,6510,12499,572,590,1162,436,315,751,2594,3745,6339,320624,342446,663070,1587,2414,4001,0,0,0,322211,344860,667071,272506,463,2.43
055,Terni,111383,121157,232540,909,845,1754,1320,1454,2774,-411,-609,-1020,2195,2261,4456,873,1342,2215,63,30,93,1903,2015,3918,202,171,373,151,123,274,875,1324,2199,111487,121471,232958,360,401,761,0,0,0,111847,121872,233719,101454,136,2.3
056,Viterbo,153840,161683,315523,1375,1321,2696,1797,1751,3548,-422,-430,-852,4223,4072,8295,1219,1472,2691,80,17,97,3461,3510,6971,183,185,368,165,111,276,1713,1755,3468,154070,161690,315760,1061,1318,2379,0,0,0,155131,163008,318139,136384,143,2.32
057,Rieti,77831,81187,159018,705,619,1324,889,941,1830,-184,-322,-506,2155,2084,4239,559,653,1212,48,37,85,1875,1863,3738,64,47,111,114,106,220,709,758,1467,78095,81173,159268,261,450,711,0,0,0,78356,81623,159979,69220,109,2.3
058,Roma,1962667,2147368,4110035,21219,19637,40856,18472,19880,38352,2747,-243,2504,39360,40653,80013,22438,23352,45790,1949,1745,3694,38536,38521,77057,2454,2172,4626,3358,2311,5669,19399,22746,42145,1966423,2145080,4111503,18390,24791,43181,0,0,0,1984813,2169871,4154684,1693124,2966,2.43
059,Latina,266891,278326,545217,2807,2705,5512,2360,2152,4512,447,553,1000,5079,4988,10067,2387,2142,4529,104,54,158,4502,4424,8926,269,239,508,189,131,320,2610,2390,5000,269657,280857,550514,291,412,703,0,0,0,269948,281269,551217,221912,180,2.48
060,Frosinone,242765,254152,496917,2248,2065,4313,2553,2547,5100,-305,-482,-787,3987,4246,8233,1134,1423,2557,78,41,119,4038,4371,8409,236,211,447,208,126,334,717,1002,1719,242621,253666,496287,556,1006,1562,0,0,0,243177,254672,497849,198122,167,2.5
061,Caserta,440312,463885,904197,5040,4702,9742,3591,3618,7209,1449,1084,2533,11883,11668,23551,1892,2103,3995,455,398,853,12047,11807,23854,220,202,422,521,326,847,1442,1834,3276,442472,465337,907809,731,1466,2197,0,0,0,443203,466803,910006,327566,229,2.77
062,Benevento,140140,148586,288726,1228,1190,2418,1541,1561,3102,-313,-371,-684,2488,2677,5165,429,597,1026,12,14,26,2665,2912,5577,139,112,251,83,65,148,42,199,241,139690,148073,287763,179,341,520,0,0,0,139869,148414,288283,110828,90,2.6
063,Napoli,1487098,1587277,3074375,17122,16483,33605,12486,12749,25235,4636,3734,8370,33451,31977,65428,3777,5087,8864,1093,856,1949,39077,37215,76292,1116,904,2020,613,376,989,-2485,-575,-3060,1486684,1584700,3071384,2565,5736,8301,0,0,0,1489249,1590436,3079685,1074061,978,2.86
064,Avellino,215069,224496,439565,1873,1792,3665,2200,2206,4406,-327,-414,-741,4080,3949,8029,597,1061,1658,26,45,71,4152,4253,8405,287,224,511,422,208,630,-158,370,212,213967,223890,437857,617,562,1179,0,0,0,214584,224452,439036,165683,165,2.64
065,Salerno,537459,568640,1106099,5276,4940,10216,5220,5062,10282,56,-122,-66,9581,9501,19082,2187,2973,5160,146,105,251,10636,10841,21477,407,359,766,356,275,631,515,1104,1619,536874,567953,1104827,1156,1669,2825,0,0,0,538030,569622,1107652,411388,319,2.69
066,L'Aquila,150506,158625,309131,1275,1192,2467,1828,2037,3865,-553,-845,-1398,2880,2652,5532,853,1108,1961,103,52,155,2555,2819,5374,165,151,316,250,177,427,866,665,1531,149807,157596,307403,1012,849,1861,0,0,0,150819,158445,309264,128862,162,2.39
067,Teramo,151418,158420,309838,1403,1335,2738,1610,1519,3129,-207,-184,-391,3249,3482,6731,1241,1462,2703,91,72,163,3091,3448,6539,244,227,471,266,178,444,980,1163,2143,152064,159228,311292,127,171,298,0,0,0,152191,159399,311590,123231,73,2.53
068,Pescara,153739,165470,319209,1439,1408,2847,1582,1710,3292,-143,-302,-445,3895,4155,8050,927,1232,2159,86,31,117,3449,3652,7101,164,129,293,277,227,504,1018,1410,2428,154337,166039,320376,277,539,816,0,0,0,154614,166578,321192,128029,89,2.5
069,Chieti,193017,203480,396497,1742,1608,3350,2183,2128,4311,-441,-520,-961,3861,3934,7795,963,1298,2261,36,37,73,3719,3973,7692,390,316,706,199,216,415,552,764,1316,192792,203218,396010,336,506,842,0,0,0,193128,203724,396852,158639,164,2.5
070,Campobasso,112728,119172,231900,881,817,1698,1235,1239,2474,-354,-422,-776,1873,1828,3701,451,527,978,22,12,34,1899,2032,3931,164,141,305,90,71,161,193,123,316,112252,118534,230786,315,339,654,0,0,0,112567,118873,231440,92764,113,2.49
071,Foggia,333045,349215,682260,3403,3293,6696,2968,2950,5918,435,343,778,3651,3473,7124,1575,1671,3246,82,45,127,4819,4836,9655,377,294,671,271,173,444,-159,-114,-273,332411,348350,680761,910,1094,2004,0,0,0,333321,349444,682765,248232,230,2.74
072,Bari,783721,817691,1601412,7734,7290,15024,6301,6568,12869,1433,722,2155,9304,8910,18214,2058,2554,4612,414,220,634,10848,9966,20814,652,477,1129,689,302,991,-413,939,526,782920,816270,1599190,1821,3082,4903,0,0,0,784741,819352,1604093,592023,510,2.7
073,Taranto,281207,299274,580481,3065,2817,5882,2903,2689,5592,162,128,290,3851,3635,7486,629,880,1509,157,100,257,4493,4265,8758,215,152,367,237,136,373,-308,62,-246,279483,298727,578210,1578,737,2315,0,0,0,281061,299464,580525,225302,226,2.57
074,Brindisi,193305,209586,402891,1886,1712,3598,1851,1950,3801,35,-238,-203,2261,2233,4494,491,726,1217,32,20,52,2406,2440,4846,208,159,367,85,57,142,85,323,408,193031,209095,402126,394,576,970,0,0,0,193425,209671,403096,152594,117,2.64
075,Lecce,387976,424682,812658,3504,3291,6795,3638,3624,7262,-134,-333,-467,6382,6672,13054,1233,1621,2854,107,39,146,6614,7037,13651,512,366,878,84,76,160,512,853,1365,387860,423962,811822,494,1240,1734,0,0,0,388354,425202,813556,312530,235,2.6
076,Potenza,189224,197607,386831,1594,1481,3075,2045,1847,3892,-451,-366,-817,2027,2027,4054,572,777,1349,18,14,32,2622,2846,5468,243,195,438,121,113,234,-369,-336,-705,187738,196301,384039,666,604,1270,0,0,0,188404,196905,385309,152623,196,2.52
077,Matera,100051,103719,203770,847,807,1654,940,839,1779,-93,-32,-125,1009,993,2002,445,599,1044,24,17,41,1438,1443,2881,98,110,208,30,43,73,-88,13,-75,99522,103291,202813,348,409,757,0,0,0,99870,103700,203570,76105,86,2.66
078,Cosenza,358403,375105,733508,3248,3066,6314,3486,3322,6808,-238,-256,-494,6513,6734,13247,1910,2283,4193,84,52,136,7089,7471,14560,583,452,1035,168,175,343,667,971,1638,358093,374754,732847,739,1066,1805,0,0,0,358832,375820,734652,286521,309,2.56
079,Catanzaro,178323,189667,367990,1605,1510,3115,1672,1731,3403,-67,-221,-288,2955,3029,5984,800,1000,1800,37,20,57,3321,3476,6797,258,181,439,56,32,88,157,360,517,177825,189076,366901,588,730,1318,0,0,0,178413,189806,368219,143615,181,2.55
080,Reggio Calabria,274820,291687,566507,2785,2557,5342,2877,2783,5660,-92,-226,-318,3660,3513,7173,1675,1747,3422,128,82,210,4729,4793,9522,265,213,478,684,554,1238,-215,-218,-433,273919,290194,564113,594,1049,1643,0,0,0,274513,291243,565756,215950,266,2.61
081,Trapani,211112,224801,435913,1997,1898,3895,2206,2326,4532,-209,-428,-637,3343,3243,6586,831,837,1668,39,41,80,3482,3410,6892,172,117,289,77,69,146,482,525,1007,210582,224251,434833,803,647,1450,0,0,0,211385,224898,436283,165145,216,2.63
082,Palermo,598308,646372,1244680,6723,6418,13141,5873,6158,12031,850,260,1110,12295,12068,24363,1787,1800,3587,323,155,478,12854,12726,25580,702,514,1216,804,524,1328,45,259,304,597555,644369,1241924,1648,2522,4170,0,0,0,599203,646891,1246094,479821,543,2.59
083,Messina,314102,340499,654601,2792,2735,5527,3467,3773,7240,-675,-1038,-1713,5029,4979,10008,1289,1632,2921,41,25,66,5487,5638,11125,303,227,530,220,198,418,349,573,922,313194,339041,652235,582,993,1575,0,0,0,313776,340034,653810,277619,244,2.35
084,Agrigento,220120,234963,455083,2140,2053,4193,2320,2327,4647,-180,-274,-454,2317,2267,4584,1306,1112,2418,56,53,109,2799,2917,5716,653,518,1171,164,96,260,63,-99,-36,219330,233955,453285,673,635,1308,0,0,0,220003,234590,454593,174374,227,2.6
085,Caltanissetta,131008,141281,272289,1333,1317,2650,1305,1349,2654,28,-32,-4,1459,1311,2770,539,584,1123,33,23,56,1936,1826,3762,190,162,352,39,29,68,-134,-99,-233,130550,140890,271440,352,260,612,0,0,0,130902,141150,272052,99401,131,2.73
086,Enna,83348,90167,173515,834,721,1555,888,914,1802,-54,-193,-247,862,891,1753,308,330,638,9,1,10,1155,1155,2310,147,101,248,47,55,102,-170,-89,-259,82968,89623,172591,156,262,418,0,0,0,83124,89885,173009,70371,73,2.45
087,Catania,523694,561283,1084977,5771,5386,11157,4927,4911,9838,844,475,1319,12697,12765,25462,1764,2104,3868,248,118,366,13126,13166,26292,689,555,1244,476,298,774,418,968,1386,522860,560321,1083181,2096,2405,4501,0,0,0,524956,562726,1087682,433053,706,2.5
088,Ragusa,154206,159695,313901,1617,1636,3253,1516,1476,2992,101,160,261,1905,1694,3599,1332,1126,2458,131,45,176,1888,1730,3618,164,117,281,292,91,383,1024,927,1951,154879,160237,315116,452,545,997,0,0,0,155331,160782,316113,124421,145,2.53
089,Siracusa,197707,205133,402840,2029,1817,3846,1961,1832,3793,68,-15,53,3310,3101,6411,1006,940,1946,111,45,156,3448,3303,6751,238,187,425,701,173,874,40,423,463,196790,204945,401735,1025,596,1621,0,0,0,197815,205541,403356,157898,190,2.54
090,Sassari,164221,172230,336451,1421,1302,2723,1600,1584,3184,-179,-282,-461,2518,2617,5135,389,619,1008,163,121,284,2637,2669,5306,192,145,337,74,68,142,167,475,642,163691,171715,335406,518,708,1226,0,0,0,164209,172423,336632,140260,159,2.39
