Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
011,La Spezia           ,104576,115110,219686,845,858,1703,1365,1479,2844,-520,-621,-1141,3268,3114,6382,486,552,1038,157,61,218,2788,2797,5585,80,61,141,150,95,245,893,774,1667,104624,114923,219547,325,340,665,0,0,0,104949,115263,220212,100507,115,2.2
012,Varese              ,412723,435883,848606,4191,4100,8291,3745,3944,7689,446,156,602,17228,15818,33046,2114,2577,4691,429,200,629,15440,14257,29697,810,651,1461,668,348,1016,2853,3339,6192,414606,436567,851173,1416,2811,4227,0,0,0,416022,439378,855400,351792,299,2.4
013,Como                ,276938,289915,566853,2859,2710,5569,2435,2568,5003,424,142,566,11536,11047,22583,1264,1631,2895,319,165,484,9743,9515,19258,546,478,1024,453,205,658,2377,2645,5022,278669,289967,568636,1070,2735,3805,0,0,0,279739,292702,572441,233907,263,2.4
014,Sondrio             ,88054,91713,179767,868,808,1676,879,788,1667,-11,20,9,2169,2105,4274,379,455,834,59,13,72,2029,2088,4117,132,107,239,119,52,171,327,326,653,87886,91368,179254,484,691,1175,0,0,0,88370,92059,180429,74255,102,2.4
015,Milano              ,1874689,1994348,3869037,19983,18540,38523,16146,17278,33424,3837,1262,5099,60982,56785,117767,13753,14417,28170,4799,2765,7564,66527,61768,128295,2593,2152,4745,6567,3549,10116,3847,6498,10345,1877028,1991903,3868931,5345,10205,15550,0,0,0,1882373,2002108,3884481,1734421,1042,2.2
016,Bergamo             ,512576,521272,1033848,5860,5457,11317,4189,4325,8514,1671,1132,2803,20570,17621,38191,2814,3188,6002,683,259,942,18175,15952,34127,594,507,1101,1277,461,1738,4021,4148,8169,516553,521383,1037936,1715,5169,6884,0,0,0,518268,526552,1044820,422964,397,2.5
017,Brescia             ,584560,597777,1182337,6668,6379,13047,4629,5071,9700,2039,1308,3347,21801,19123,40924,4993,5300,10293,1159,397,1556,19165,17545,36710,632,623,1255,3197,1518,4715,4959,5134,10093,589831,598949,1188780,1727,5270,6997,0,0,0,591558,604219,1195777,495149,500,2.4
018,Pavia               ,249341,266295,515636,2297,2222,4519,2780,3261,6041,-483,-1039,-1522,11497,10960,22457,1249,1781,3030,218,131,349,8665,8356,17021,249,173,422,667,544,1211,3383,3799,7182,251065,266256,517321,1176,2799,3975,0,0,0,252241,269055,521296,233344,251,2.2
019,Cremona             ,170241,178129,348370,1606,1463,3069,1792,1888,3680,-186,-425,-611,6336,5703,12039,885,1197,2082,281,150,431,5560,5199,10759,142,117,259,603,322,925,1197,1412,2609,170141,177038,347179,1111,2078,3189,0,0,0,171252,179116,350368,146182,165,2.4
020,Mantova             ,192084,201639,393723,1958,1786,3744,2023,2162,4185,-65,-376,-441,7288,6673,13961,1504,1883,3387,261,118,379,6351,5931,12282,205,201,406,546,242,788,1951,2300,4251,193211,201548,394759,759,2015,2774,0,0,0,193970,203563,397533,160294,183,2.5
021,Bolzano-Bozen       ,238626,244024,482650,2764,2645,5409,1820,1887,3707,944,758,1702,5756,5446,11202,1564,1749,3313,371,163,534,5354,5191,10545,409,436,845,264,74,338,1664,1657,3321,238571,243909,482480,2663,2530,5193,0,0,0,241234,246439,487673,192488,481,2.5
022,Trento              ,245682,256796,502478,2707,2486,5193,2244,2321,4565,463,165,628,6974,6872,13846,1819,2089,3908,337,159,496,6293,6562,12855,374,308,682,500,289,789,1963,1961,3924,246249,256075,502324,1859,2847,4706,0,0,0,248108,258922,507030,212352,341,2.4
023,Verona              ,426865,443257,870122,4613,4422,9035,3740,3823,7563,873,599,1472,14740,13836,28576,3528,4248,7776,741,320,1061,13424,12711,26135,552,513,1065,1069,508,1577,3964,4672,8636,429158,442862,872020,2544,5666,8210,0,0,0,431702,448528,880230,356741,454,2.4
024,Vicenza             ,414796,423941,838737,4623,4349,8972,3306,3501,6807,1317,848,2165,13890,12873,26763,2498,3264,5762,405,150,555,13918,12968,26886,696,635,1331,1112,542,1654,1067,2142,3209,415160,420881,836041,2020,6050,8070,0,0,0,417180,426931,844111,331218,437,2.5
025,Belluno             ,101985,110231,212216,867,893,1760,1193,1279,2472,-326,-386,-712,2593,2714,5307,649,787,1436,56,43,99,2428,2693,5121,292,284,576,171,113,284,407,454,861,101516,109023,210539,550,1276,1826,0,0,0,102066,110299,212365,93017,131,2.3
026,Treviso             ,419398,429957,849355,4704,4528,9232,3359,3536,6895,1345,992,2337,15298,14165,29463,3163,3658,6821,566,214,780,14635,13602,28237,956,747,1703,1003,454,1457,2433,3234,5667,420670,429399,850069,2506,4784,7290,0,0,0,423176,434183,857359,333943,417,2.5
027,Venezia             ,404253,428073,832326,3825,3594,7419,3918,3991,7909,-93,-397,-490,10370,9856,20226,2693,3175,5868,670,336,1006,10084,9826,19910,462,408,870,1033,527,1560,2154,2606,4760,404551,426982,831533,1763,3300,5063,0,0,0,406314,430282,836596,345941,368,2.4
028,Padova              ,435091,455714,890805,4550,4298,8848,3717,3919,7636,833,379,1212,14276,14172,28448,2477,2833,5310,488,213,701,13252,13406,26658,508,431,939,593,287,880,2888,3094,5982,436070,454254,890324,2742,4933,7675,0,0,0,438812,459187,897999,351893,580,2.5
029,Rovigo              ,118769,125983,244752,925,864,1789,1419,1417,2836,-494,-553,-1047,3085,3009,6094,512,699,1211,135,78,213,2789,2853,5642,113,85,198,298,191,489,532,657,1189,118046,124462,242508,761,1625,2386,0,0,0,118807,126087,244894,101049,130,2.4
030,Udine               ,256977,272834,529811,2264,2153,4417,2752,3025,5777,-488,-872,-1360,8387,8167,16554,1352,1649,3001,191,95,286,7542,7648,15190,399,353,752,484,263,747,1505,1647,3152,256120,271633,527753,1874,1976,3850,0,0,0,257994,273609,531603,229141,260,2.3
031,Gorizia             ,68919,72276,141195,564,578,1142,784,871,1655,-220,-293,-513,2305,2088,4393,478,472,950,125,36,161,2247,1932,4179,146,126,272,387,119,506,128,419,547,68216,71637,139853,611,765,1376,0,0,0,68827,72402,141229,63395,106,2.2
032,Trieste             ,111372,125677,237049,896,896,1792,1496,1876,3372,-600,-980,-1580,1672,1664,3336,654,767,1421,32,10,42,1622,1556,3178,254,176,430,94,54,148,388,655,1043,110184,123119,233303,976,2233,3209,0,0,0,111160,125352,236512,119747,216,1.9
033,Piacenza            ,134228,141633,275861,1185,1187,2372,1690,1786,3476,-505,-599,-1104,5092,4529,9621,1117,1420,2537,144,102,246,4362,4019,8381,150,135,285,193,78,271,1648,1819,3467,134479,141677,276156,892,1176,2068,0,0,0,135371,142853,278224,123065,145,2.2
034,Parma               ,202347,214456,416803,1959,1847,3806,2354,2496,4850,-395,-649,-1044,7284,6721,14005,1395,1628,3023,328,174,502,6353,5904,12257,217,230,447,361,147,508,2076,2242,4318,202872,214456,417328,1156,1593,2749,0,0,0,204028,216049,420077,189745,215,2.2
035,Reggio Emilia       ,243680,250532,494212,2770,2626,5396,2360,2566,4926,410,60,470,9796,8641,18437,1672,2059,3731,388,178,566,7790,7085,14875,250,181,431,522,224,746,3294,3388,6682,246570,252716,499286,814,1264,2078,0,0,0,247384,253980,501364,208963,217,2.4
036,Modena              ,326651,338716,665367,3462,3241,6703,3260,3206,6466,202,35,237,11884,10309,22193,2311,2788,5099,620,230,850,11554,10082,21636,394,311,705,858,449,1307,2009,2485,4494,327598,339076,666674,1264,2160,3424,0,0,0,328862,341236,670098,279819,279,2.4
037,Bologna             ,457653,492172,949825,4557,4213,8770,5175,5675,10850,-618,-1462,-2080,18236,17268,35504,2550,2843,5393,828,378,1206,16522,15579,32101,527,476,1003,1316,746,2062,3249,3688,6937,457322,490149,947471,2962,4249,7211,0,0,0,460284,494398,954682,445752,679,2.1
038,Ferrara             ,168195,183257,351452,1387,1220,2607,2115,2324,4439,-728,-1104,-1832,5068,4893,9961,703,947,1650,213,89,302,3715,3755,7470,139,159,298,299,163,462,1831,1852,3683,168296,182511,350807,1002,1494,2496,0,0,0,169298,184005,353303,156267,224,2.2
039,Ravenna             ,179533,189894,369427,1772,1623,3395,2012,2038,4050,-240,-415,-655,4791,4433,9224,1279,1433,2712,394,145,539,3490,3292,6782,170,143,313,461,242,703,2343,2334,4677,180968,190001,370969,668,1812,2480,0,0,0,181636,191813,373449,163405,197,2.3
040,Forli'-Cesena       ,183379,191299,374678,1796,1794,3590,1829,1991,3820,-33,-197,-230,4989,4588,9577,1230,1620,2850,287,127,414,4175,3955,8130,244,213,457,481,228,709,1606,1939,3545,184145,191480,375625,807,1561,2368,0,0,0,184952,193041,377993,155462,208,2.4
041,Pesaro e Urbino     ,180945,187724,368669,1814,1667,3481,1821,1801,3622,-7,-134,-141,5279,4828,10107,968,1134,2102,207,100,307,4538,4283,8821,220,171,391,816,642,1458,880,966,1846,181285,187540,368825,533,1016,1549,0,0,0,181818,188556,370374,147962,194,2.5
042,Ancona              ,224460,239967,464427,2176,2053,4229,2414,2462,4876,-238,-409,-647,5916,5481,11397,1246,1304,2550,153,79,232,5151,5020,10171,213,185,398,363,238,601,1588,1421,3009,225072,239586,464658,738,1393,2131,0,0,0,225810,240979,466789,189603,277,2.5
043,Macerata            ,153647,161418,315065,1425,1386,2811,1739,1710,3449,-314,-324,-638,3576,3457,7033,976,1282,2258,174,82,256,3341,3257,6598,251,180,431,490,241,731,644,1143,1787,153081,161036,314117,896,1201,2097,0,0,0,153977,162237,316214,121993,190,2.6
044,Ascoli Piceno       ,185406,195242,380648,1689,1547,3236,1926,1936,3862,-237,-389,-626,4440,4298,8738,944,1210,2154,298,228,526,3993,4019,8012,214,183,397,183,127,310,1292,1407,2699,186039,195566,381605,422,694,1116,0,0,0,186461,196260,382721,145883,146,2.6
045,Massa Carrara       ,96598,104195,200793,836,729,1565,1152,1214,2366,-316,-485,-801,2159,1963,4122,315,329,644,67,15,82,1955,1811,3766,89,65,154,71,24,95,426,407,833,96420,103776,200196,288,341,629,0,0,0,96708,104117,200825,87828,97,2.3
046,Lucca               ,182559,197678,380237,1649,1607,3256,2075,2341,4416,-426,-734,-1160,4531,4507,9038,756,906,1662,949,896,1845,3893,3879,7772,221,203,424,428,260,688,1694,1967,3661,183362,197943,381305,465,968,1433,0,0,0,183827,198911,382738,159386,202,2.4
047,Pistoia             ,134340,144721,279061,1252,1255,2507,1387,1487,2874,-135,-232,-367,4388,4310,8698,733,989,1722,367,254,621,3771,3844,7615,135,130,265,329,179,508,1253,1400,2653,135125,145520,280645,333,369,702,0,0,0,135458,145889,281347,117078,104,2.4
048,Firenze             ,464466,502998,967464,4307,4109,8416,5061,5337,10398,-754,-1228,-1982,13715,13301,27016,3488,3855,7343,774,411,1185,14010,13461,27471,555,559,1114,1272,755,2027,2140,2792,4932,463628,500391,964019,2224,4171,6395,0,0,0,465852,504562,970414,415847,516,2.3
049,Livorno             ,161549,174589,336138,1398,1360,2758,1857,1986,3843,-459,-626,-1085,3476,3368,6844,604,866,1470,136,49,185,3068,2955,6023,150,121,271,145,108,253,853,1099,1952,160795,173985,334780,1148,1077,2225,0,0,0,161943,175062,337005,147265,155,2.3
050,Pisa                ,192904,203888,396792,1819,1735,3554,2082,2180,4262,-263,-445,-708,7005,6649,13654,950,1093,2043,158,76,234,5807,5525,11332,258,192,450,244,108,352,1804,1993,3797,193586,204323,397909,859,1113,1972,0,0,0,194445,205436,399881,165429,206,2.4
051,Arezzo              ,163432,172068,335500,1497,1447,2944,1898,1815,3713,-401,-368,-769,4252,4042,8294,828,1088,1916,110,59,169,3675,3597,7272,176,150,326,174,102,276,1165,1340,2505,163722,172190,335912,474,850,1324,0,0,0,164196,173040,337236,135921,221,2.5
052,Siena               ,126893,135001,261894,1115,1100,2215,1571,1552,3123,-456,-452,-908,4137,3811,7948,787,1086,1873,72,45,117,3748,3606,7354,163,134,297,175,108,283,910,1094,2004,126589,134381,260970,758,1262,2020,0,0,0,127347,135643,262990,111489,159,2.3
053,Grosseto            ,105392,114104,219496,899,798,1697,1331,1371,2702,-432,-573,-1005,2876,2691,5567,624,739,1363,71,25,96,2213,2187,4400,133,91,224,94,57,151,1131,1120,2251,105613,114226,219839,478,425,903,0,0,0,106091,114651,220742,98549,121,2.2
054,Perugia             ,310432,329891,640323,3105,2894,5999,3369,3394,6763,-264,-500,-764,6744,6654,13398,1758,2130,3888,677,524,1201,5899,5913,11812,291,256,547,393,294,687,2596,2845,5441,311207,329753,640960,1557,2483,4040,0,0,0,312764,332236,645000,256125,466,2.5
055,Terni               ,109230,118325,227555,944,879,1823,1363,1392,2755,-419,-513,-932,2026,2001,4027,545,688,1233,66,32,98,1846,1849,3695,76,85,161,85,73,158,630,714,1344,109107,118102,227209,334,424,758,0,0,0,109441,118526,227967,95975,137,2.4
056,Viterbo             ,147519,155028,302547,1245,1251,2496,1740,1618,3358,-495,-367,-862,4260,3994,8254,785,1011,1796,39,21,60,3250,3118,6368,95,100,195,95,46,141,1644,1762,3406,147650,155137,302787,1018,1286,2304,0,0,0,148668,156423,305091,127781,154,2.4
057,Rieti               ,75423,78983,154406,669,588,1257,901,908,1809,-232,-320,-552,2209,2032,4241,333,444,777,34,25,59,1819,1885,3704,47,31,78,109,91,200,601,494,1095,75563,78699,154262,229,458,687,0,0,0,75792,79157,154949,65591,113,2.4
058,Roma                ,1821871,2010088,3831959,20594,19241,39835,16989,17745,34734,3605,1496,5101,39382,40502,79884,13002,15243,28245,123313,114131,237444,38875,38330,77205,3451,3170,6621,42079,43671,85750,91292,84705,175997,1894832,2074826,3969658,21936,21463,43399,0,0,0,1916768,2096289,4013057,1600493,3195,2.5
059,Latina              ,256894,267639,524533,2644,2508,5152,2251,2026,4277,393,482,875,5364,5408,10772,916,1085,2001,169,98,267,4650,4521,9171,234,215,449,100,65,165,1465,1790,3255,258294,269477,527771,458,434,892,0,0,0,258752,269911,528663,204713,185,2.6
060,Frosinone           ,240208,251125,491333,2133,2040,4173,2497,2263,4760,-364,-223,-587,4017,3987,8004,636,788,1424,83,80,163,3841,4115,7956,274,245,519,170,144,314,451,351,802,239828,250332,490160,467,921,1388,0,0,0,240295,251253,491548,189387,184,2.6
061,Caserta             ,432331,454427,886758,4992,4813,9805,3468,3212,6680,1524,1601,3125,11873,12089,23962,1022,1181,2203,512,406,918,12240,11859,24099,333,264,597,460,337,797,374,1216,1590,433769,455816,889585,460,1428,1888,0,0,0,434229,457244,891473,315481,255,2.8
062,Benevento           ,140380,148821,289201,1262,1172,2434,1504,1443,2947,-242,-271,-513,2331,2381,4712,251,277,528,38,33,71,2253,2469,4722,332,306,638,38,29,67,-3,-113,-116,139935,148075,288010,200,362,562,0,0,0,140135,148437,288572,107617,90,2.7
063,Napoli              ,1496063,1590559,3086622,18645,17352,35997,12008,11981,23989,6637,5371,12008,32583,31560,64143,2433,3498,5931,1667,1427,3094,44820,41723,86543,830,617,1447,639,413,1052,-9606,-6268,-15874,1490430,1583701,3074131,2664,5961,8625,0,0,0,1493094,1589662,3082756,1053041,869,2.9
064,Avellino            ,214239,223175,437414,1899,1837,3736,2202,2067,4269,-303,-230,-533,4500,4313,8813,556,677,1233,109,110,219,4228,4182,8410,468,403,871,111,105,216,358,410,768,213746,222663,436409,548,692,1240,0,0,0,214294,223355,437649,161561,166,2.7
065,Salerno             ,531794,559140,1090934,5295,5012,10307,4871,4421,9292,424,591,1015,9552,9606,19158,1025,1386,2411,363,250,613,11243,11246,22489,676,620,1296,356,253,609,-1335,-877,-2212,529382,557291,1086673,1501,1563,3064,0,0,0,530883,558854,1089737,389256,341,2.8
066,L'Aquila            ,148551,156550,305101,1221,1127,2348,1624,1641,3265,-403,-514,-917,2932,2715,5647,688,716,1404,152,107,259,2793,2722,5515,178,172,350,144,85,229,657,559,1216,147900,155725,303625,905,870,1775,0,0,0,148805,156595,305400,123590,173,2.5
067,Teramo              ,146040,152749,298789,1334,1277,2611,1393,1351,2744,-59,-74,-133,3361,3484,6845,856,1045,1901,439,336,775,3025,3243,6268,226,195,421,175,125,300,1230,1302,2532,146887,153529,300416,324,448,772,0,0,0,147211,153977,301188,114870,70,2.6
068,Pescara             ,149538,160409,309947,1515,1371,2886,1586,1472,3058,-71,-101,-172,4022,4042,8064,487,589,1076,135,79,214,3255,3375,6630,160,151,311,158,134,292,1071,1050,2121,150227,160756,310983,311,602,913,0,0,0,150538,161358,311896,120047,92,2.6
069,Chieti              ,190595,200875,391470,1664,1578,3242,2121,2035,4156,-457,-457,-914,3599,3636,7235,661,826,1487,111,115,226,3475,3711,7186,407,346,753,135,117,252,354,403,757,190131,200335,390466,361,486,847,0,0,0,190492,200821,391313,152732,155,2.6
070,Campobasso          ,112586,118744,231330,927,892,1819,1282,1268,2550,-355,-376,-731,1799,1838,3637,382,447,829,36,11,47,1774,1924,3698,191,148,339,23,21,44,229,203,432,112183,118187,230370,277,384,661,0,0,0,112460,118571,231031,89896,114,2.6
071,Foggia              ,334624,349649,684273,3432,3242,6674,2912,2759,5671,520,483,1003,3410,3263,6673,691,823,1514,144,96,240,5407,5208,10615,653,491,1144,216,182,398,-2031,-1699,-3730,332187,347246,679433,926,1187,2113,0,0,0,333113,348433,681546,241535,236,2.8
072,Bari                ,781559,813800,1595359,7930,7435,15365,6161,5973,12134,1769,1462,3231,9357,9017,18374,1649,1515,3164,201,107,308,11080,10424,21504,722,566,1288,715,565,1280,-1310,-916,-2226,780614,811977,1592591,1404,2369,3773,0,0,0,782018,814346,1596364,571980,569,2.8
073,Taranto             ,281875,298801,580676,2588,2493,5081,2246,2172,4418,342,321,663,3850,3531,7381,302,390,692,99,76,175,4536,4234,8770,192,137,329,222,77,299,-699,-451,-1150,281131,297996,579127,387,675,1062,0,0,0,281518,298671,580189,219692,207,2.6
074,Brindisi            ,193974,209812,403786,1869,1748,3617,1794,1708,3502,75,40,115,2088,2030,4118,426,402,828,28,17,45,2635,2425,5060,488,403,891,70,40,110,-651,-419,-1070,193103,208907,402010,295,526,821,0,0,0,193398,209433,402831,147683,135,2.7
075,Lecce               ,385306,422118,807424,3562,3465,7027,3481,3532,7013,81,-67,14,6429,6666,13095,1225,1157,2382,419,298,717,6645,6790,13435,629,460,1089,108,61,169,691,810,1501,385629,421659,807288,449,1202,1651,0,0,0,386078,422861,808939,299870,246,2.7
076,Potenza             ,191288,198780,390068,1626,1561,3187,2023,1833,3856,-397,-272,-669,1894,1901,3795,386,418,804,47,30,77,2587,2642,5229,497,403,900,75,53,128,-832,-749,-1581,189261,197117,386378,798,642,1440,0,0,0,190059,197759,387818,149070,195,2.6
077,Matera              ,100363,103655,204018,958,813,1771,962,849,1811,-4,-36,-40,1053,1015,2068,249,282,531,9,6,15,1406,1379,2785,139,112,251,22,14,36,-256,-202,-458,99802,103007,202809,301,410,711,0,0,0,100103,103417,203520,73830,91,2.7
078,Cosenza             ,357685,372710,730395,3289,2999,6288,3227,3083,6310,62,-84,-22,6003,6049,12052,1195,1399,2594,97,66,163,6774,6721,13495,1950,1530,3480,241,272,513,-1670,-1009,-2679,355262,370451,725713,815,1166,1981,0,0,0,356077,371617,727694,274184,308,2.6
079,Catanzaro           ,178483,189141,367624,1707,1529,3236,1664,1539,3203,43,-10,33,2784,2701,5485,456,536,992,80,29,109,3346,3270,6616,447,363,810,117,53,170,-590,-420,-1010,177388,187998,365386,548,713,1261,0,0,0,177936,188711,366647,139000,160,2.6
080,Reggio Calabria     ,274828,290713,565541,2796,2623,5419,2644,2519,5163,152,104,256,3538,3266,6804,632,768,1400,195,146,341,5052,4599,9651,366,297,663,86,30,116,-1139,-746,-1885,273189,289010,562199,652,1061,1713,0,0,0,273841,290071,563912,208277,307,2.7
081,Trapani             ,210539,223896,434435,2031,1961,3992,2014,2078,4092,17,-117,-100,3642,3602,7244,439,441,880,303,258,561,3792,3773,7565,263,215,478,163,76,239,166,237,403,210185,223425,433610,537,591,1128,0,0,0,210722,224016,434738,165010,191,2.6
082,Palermo             ,597206,642602,1239808,6713,6358,13071,5413,5575,10988,1300,783,2083,13180,13367,26547,1361,1301,2662,678,422,1100,14537,13682,28219,824,626,1450,850,440,1290,-992,342,-650,595603,640985,1236588,1911,2742,4653,0,0,0,597514,643727,1241241,461485,519,2.7
083,Messina             ,314886,340754,655640,2953,2703,5656,3215,3396,6611,-262,-693,-955,4809,4909,9718,649,828,1477,81,49,130,5647,5641,11288,375,341,716,83,62,145,-566,-258,-824,313411,338787,652198,647,1016,1663,0,0,0,314058,339803,653861,271178,246,2.4
084,Agrigento           ,221153,235886,457039,2235,2130,4365,2166,2135,4301,69,-5,64,2181,2236,4417,1010,967,1977,129,104,233,2977,2912,5889,1268,1157,2425,100,89,189,-1025,-851,-1876,219711,234392,454103,486,638,1124,0,0,0,220197,235030,455227,171159,191,2.7
085,Caltanissetta       ,131874,142127,274001,1547,1365,2912,1349,1336,2685,198,29,227,1370,1240,2610,358,383,741,29,16,45,2057,1955,4012,350,289,639,37,18,55,-687,-623,-1310,131101,141086,272187,284,447,731,0,0,0,131385,141533,272918,105773,123,2.6
086,Enna                ,83717,90482,174199,868,759,1627,830,811,1641,38,-52,-14,913,888,1801,261,303,564,16,17,33,1126,1165,2291,326,265,591,13,12,25,-275,-234,-509,83325,89918,173243,155,278,433,0,0,0,83480,90196,173676,68164,64,2.5
087,Catania             ,519644,556013,1075657,5947,5410,11357,4651,4510,9161,1296,900,2196,12954,12766,25720,892,1045,1937,402,256,658,13150,12902,26052,1168,899,2067,619,458,1077,-689,-192,-881,518209,554179,1072388,2042,2542,4584,0,0,0,520251,556721,1076972,422978,672,2.5
088,Ragusa              ,151621,156482,308103,1636,1479,3115,1428,1394,2822,208,85,293,1904,1671,3575,681,664,1345,112,37,149,2015,1605,3620,187,167,354,157,54,211,338,546,884,151602,156465,308067,565,648,1213,0,0,0,152167,157113,309280,118929,146,2.6
089,Siracusa            ,194993,203337,398330,2029,1816,3845,1876,1802,3678,153,14,167,3124,2942,6066,830,580,1410,59,38,97,3427,3101,6528,266,246,512,62,20,82,258,193,451,194375,202947,397322,1029,597,1626,0,0,0,195404,203544,398948,152986,185,2.6
