Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
011,La Spezia           ,104949,115263,220212,883,786,1669,1324,1512,2836,-441,-726,-1167,3174,3228,6402,893,1183,2076,100,39,139,2800,2860,5660,99,88,187,140,80,220,1128,1422,2550,105317,115604,220921,319,355,674,0,0,0,105636,115959,221595,102142,96,2.2
012,Varese              ,416022,439378,855400,4360,3884,8244,3784,4058,7842,576,-174,402,16423,15299,31722,3166,3582,6748,279,139,418,14978,14311,29289,768,659,1427,560,315,875,3562,3735,7297,418842,440143,858985,1318,2796,4114,0,0,0,420160,442939,863099,358118,293,2.4
013,Como                ,279739,292702,572441,2877,2783,5660,2352,2710,5062,525,73,598,10827,10327,21154,1837,2127,3964,326,193,519,9578,9203,18781,564,466,1030,453,237,690,2395,2741,5136,281647,292810,574457,1012,2706,3718,0,0,0,282659,295516,578175,238053,268,2.4
014,Sondrio             ,88370,92059,180429,827,768,1595,868,911,1779,-41,-143,-184,2049,1969,4018,594,669,1263,33,14,47,1941,1870,3811,135,98,233,111,80,191,489,604,1093,88362,91893,180255,456,627,1083,0,0,0,88818,92520,181338,75240,101,2.4
015,Milano              ,1882373,2002108,3884481,20114,18722,38836,15915,17271,33186,4199,1451,5650,59476,55705,115181,15990,15630,31620,2961,1467,4428,64026,59902,123928,3201,2552,5753,3191,1762,4953,8009,8586,16595,1889110,2001670,3890780,5471,10475,15946,0,0,0,1894581,2012145,3906726,1749017,1052,2.2
016,Bergamo             ,518268,526552,1044820,5754,5602,11356,4176,4455,8631,1578,1147,2725,19796,17331,37127,5430,5352,10782,703,218,921,17729,15809,33538,642,525,1167,1448,629,2077,6110,5938,12048,524300,528482,1052782,1656,5155,6811,0,0,0,525956,533637,1059593,431840,388,2.4
017,Brescia             ,591558,604219,1195777,6847,6513,13360,4765,5126,9891,2082,1387,3469,21089,18597,39686,6702,6915,13617,1035,453,1488,19027,17361,36388,688,643,1331,3187,1514,4701,5924,6447,12371,597817,606898,1204715,1747,5155,6902,0,0,0,599564,612053,1211617,505110,505,2.4
018,Pavia               ,252241,269055,521296,2347,2197,4544,2946,3383,6329,-599,-1186,-1785,11012,10565,21577,3471,3576,7047,487,521,1008,8749,8443,17192,192,146,338,416,228,644,5613,5845,11458,256179,271087,527266,1076,2627,3703,0,0,0,257255,273714,530969,238209,260,2.2
019,Cremona             ,171252,179116,350368,1672,1561,3233,1787,1959,3746,-115,-398,-513,6290,5607,11897,2416,2461,4877,213,128,341,5294,4759,10053,178,163,341,410,219,629,3037,3055,6092,173138,179745,352883,1036,2028,3064,0,0,0,174174,181773,355947,149009,151,2.4
020,Mantova             ,193970,203563,397533,2090,1914,4004,1927,2188,4115,163,-274,-111,7337,6528,13865,2597,2840,5437,316,108,424,6263,5854,12117,250,209,459,585,322,907,3152,3091,6243,196546,204530,401076,739,1850,2589,0,0,0,197285,206380,403665,163619,178,2.5
021,Bolzano-Bozen       ,241234,246439,487673,2900,2602,5502,1830,1875,3705,1070,727,1797,5533,5490,11023,2358,2988,5346,231,60,291,5251,5212,10463,656,620,1276,355,126,481,1860,2580,4440,241566,247239,488805,2598,2507,5105,0,0,0,244164,249746,493910,196982,461,2.5
022,Trento              ,248108,258922,507030,2652,2526,5178,2209,2386,4595,443,140,583,7105,6987,14092,2646,3059,5705,360,167,527,6405,6439,12844,406,408,814,572,350,922,2728,3016,5744,249495,259292,508787,1784,2786,4570,0,0,0,251279,262078,513357,216286,336,2.4
023,Verona              ,431702,448528,880230,4726,4477,9203,3716,4038,7754,1010,439,1449,14001,13229,27230,7451,7246,14697,635,272,907,13014,12458,25472,669,568,1237,992,496,1488,7412,7225,14637,437633,450581,888214,2491,5611,8102,0,0,0,440124,456192,896316,366794,458,2.4
024,Vicenza             ,417180,426931,844111,4607,4408,9015,3509,3632,7141,1098,776,1874,13313,12803,26116,3736,4210,7946,635,243,878,13259,12779,26038,667,601,1268,902,475,1377,2856,3401,6257,419125,425012,844137,2009,6096,8105,0,0,0,421134,431108,852242,337268,423,2.5
025,Belluno             ,102066,110299,212365,901,786,1687,1138,1330,2468,-237,-544,-781,2677,2765,5442,982,1264,2246,84,55,139,2430,2702,5132,203,189,392,172,103,275,938,1090,2028,102228,109630,211858,539,1215,1754,0,0,0,102767,110845,213612,94441,128,2.2
026,Treviso             ,423176,434183,857359,4866,4559,9425,3551,3678,7229,1315,881,2196,14803,13965,28768,5228,6053,11281,492,184,676,14015,13421,27436,976,802,1778,1040,492,1532,4492,5487,9979,426650,435838,862488,2333,4713,7046,0,0,0,428983,440551,869534,340226,414,2.5
027,Venezia             ,406314,430282,836596,3916,3677,7593,3891,4173,8064,25,-496,-471,10390,10034,20424,4289,4804,9093,619,291,910,9935,9691,19626,578,509,1087,797,436,1233,3988,4493,8481,408674,431045,839719,1653,3234,4887,0,0,0,410327,434279,844606,352625,363,2.4
028,Padova              ,438812,459187,897999,4483,4351,8834,3841,4130,7971,642,221,863,13660,13540,27200,5271,5812,11083,510,190,700,13074,12988,26062,558,475,1033,654,321,975,5155,5758,10913,442033,460377,902410,2576,4789,7365,0,0,0,444609,465166,909775,359622,570,2.5
029,Rovigo              ,118807,126087,244894,947,929,1876,1351,1523,2874,-404,-594,-998,3092,2988,6080,1114,1420,2534,159,86,245,2858,2946,5804,130,115,245,279,172,451,1098,1261,2359,118723,125098,243821,778,1656,2434,0,0,0,119501,126754,246255,99913,132,2.4
030,Udine               ,257994,273609,531603,2285,2197,4482,2718,3036,5754,-433,-839,-1272,8474,8452,16926,2383,2669,5052,209,116,325,7628,7657,15285,453,376,829,337,191,528,2648,3013,5661,258410,273856,532266,1799,1927,3726,0,0,0,260209,275783,535992,233139,245,2.3
031,Gorizia             ,68827,72402,141229,592,560,1152,797,821,1618,-205,-261,-466,2397,2195,4592,615,654,1269,148,24,172,2200,2063,4263,157,99,256,259,70,329,544,641,1185,68630,72038,140668,536,744,1280,0,0,0,69166,72782,141948,64246,103,2.2
032,Trieste             ,111160,125352,236512,897,884,1781,1463,1876,3339,-566,-992,-1558,1658,1608,3266,899,1000,1899,23,9,32,1547,1509,3056,229,176,405,159,74,233,645,858,1503,110269,122959,233228,970,2259,3229,0,0,0,111239,125218,236457,120164,216,1.9
033,Piacenza            ,135371,142853,278224,1263,1166,2429,1694,1802,3496,-431,-636,-1067,4699,4292,8991,1859,2072,3931,201,49,250,4154,3932,8086,181,136,317,200,110,310,2224,2235,4459,136299,143335,279634,865,1117,1982,0,0,0,137164,144452,281616,125169,146,2.2
034,Parma               ,204028,216049,420077,2100,1905,4005,2254,2592,4846,-154,-687,-841,7108,6552,13660,2217,3157,5374,272,148,420,6248,5887,12135,233,221,454,252,147,399,2864,3602,6466,205578,217419,422997,1160,1545,2705,0,0,0,206738,218964,425702,193273,216,2.2
035,Reggio Emilia       ,247384,253980,501364,3008,2720,5728,2549,2662,5211,459,58,517,9517,8524,18041,2516,3229,5745,388,143,531,7618,6969,14587,267,221,488,677,322,999,3859,4384,8243,250947,257128,508075,755,1294,2049,0,0,0,251702,258422,510124,213583,223,2.4
036,Modena              ,328862,341236,670098,3499,3358,6857,3204,3492,6696,295,-134,161,11511,10602,22113,3824,4742,8566,786,345,1131,11028,10027,21055,415,343,758,1683,901,2584,2995,4418,7413,330912,343395,674307,1240,2125,3365,0,0,0,332152,345520,677672,284574,282,2.4
037,Bologna             ,460284,494398,954682,4523,4297,8820,5213,5709,10922,-690,-1412,-2102,18083,16956,35039,4749,5847,10596,854,381,1235,16720,15810,32530,543,462,1005,1258,583,1841,5165,6329,11494,461848,495191,957039,2911,4124,7035,0,0,0,464759,499315,964074,452769,678,2.1
038,Ferrara             ,169298,184005,353303,1388,1276,2664,2185,2322,4507,-797,-1046,-1843,4770,4599,9369,1336,2012,3348,197,92,289,3783,3884,7667,145,114,259,453,278,731,1922,2427,4349,169459,183904,353363,964,1482,2446,0,0,0,170423,185386,355809,158857,218,2.2
039,Ravenna             ,181636,191813,373449,1801,1680,3481,2003,2191,4194,-202,-511,-713,4536,4314,8850,2317,2712,5029,269,114,383,3372,3259,6631,167,147,314,397,188,585,3186,3546,6732,183990,193117,377107,630,1731,2361,0,0,0,184620,194848,379468,167537,195,2.3
040,Forli'-Cesena       ,184952,193041,377993,1866,1723,3589,1919,1955,3874,-53,-232,-285,4758,4528,9286,2144,2716,4860,253,127,380,4162,3995,8157,219,192,411,432,191,623,2342,2993,5335,186434,194239,380673,807,1563,2370,0,0,0,187241,195802,383043,158902,209,2.4
041,Pesaro e Urbino     ,181818,188556,370374,1845,1692,3537,1845,1842,3687,0,-150,-150,5657,5061,10718,2095,2655,4750,183,99,282,4558,4184,8742,239,207,446,293,172,465,2845,3252,6097,184146,190675,374821,517,983,1500,0,0,0,184663,191658,376321,151630,191,2.5
042,Ancona              ,225810,240979,466789,2216,2140,4356,2452,2566,5018,-236,-426,-662,5917,5619,11536,1968,2489,4457,125,70,195,5418,5172,10590,232,214,446,364,199,563,1996,2593,4589,226895,241741,468636,675,1405,2080,0,0,0,227570,243146,470716,194006,270,2.4
043,Macerata            ,153977,162237,316214,1477,1431,2908,1722,1682,3404,-245,-251,-496,3529,3355,6884,1848,2331,4179,126,63,189,3164,3139,6303,264,203,467,325,225,550,1750,2182,3932,154662,162909,317571,820,1259,2079,0,0,0,155482,164168,319650,124886,191,2.5
044,Ascoli Piceno       ,186461,196260,382721,1698,1565,3263,1958,1923,3881,-260,-358,-618,4190,4146,8336,1800,2297,4097,226,207,433,3978,3940,7918,157,149,306,205,164,369,1876,2397,4273,187664,197631,385295,413,668,1081,0,0,0,188077,198299,386376,148829,149,2.6
045,Massa Carrara       ,96708,104117,200825,811,776,1587,1144,1190,2334,-333,-414,-747,1994,1898,3892,1068,1312,2380,42,14,56,1878,1770,3648,86,67,153,99,71,170,1041,1316,2357,97133,104673,201806,283,346,629,0,0,0,97416,105019,202435,89269,97,2.3
046,Lucca               ,183827,198911,382738,1708,1612,3320,2108,2347,4455,-400,-735,-1135,4684,4592,9276,1988,2524,4512,210,90,300,3914,3895,7809,208,166,374,301,149,450,2459,2996,5455,185433,200253,385686,453,919,1372,0,0,0,185886,201172,387058,162346,202,2.4
047,Pistoia             ,135458,145889,281347,1316,1199,2515,1478,1608,3086,-162,-409,-571,4180,4085,8265,1572,2351,3923,1429,1208,2637,3672,3648,7320,140,98,238,390,238,628,2979,3660,6639,137972,148781,286753,303,359,662,0,0,0,138275,149140,287415,119498,108,2.4
048,Firenze             ,465852,504562,970414,4427,4066,8493,5161,5502,10663,-734,-1436,-2170,12601,12479,25080,4756,6250,11006,1637,1285,2922,13573,13304,26877,563,544,1107,1365,815,2180,3493,5351,8844,466486,504397,970883,2125,4080,6205,0,0,0,468611,508477,977088,422118,521,2.3
049,Livorno             ,161943,175062,337005,1496,1344,2840,1912,2181,4093,-416,-837,-1253,3425,3235,6660,1499,2005,3504,112,67,179,3176,3002,6178,158,153,311,174,92,266,1528,2060,3588,161932,175230,337162,1123,1055,2178,0,0,0,163055,176285,339340,149988,155,2.2
050,Pisa                ,194445,205436,399881,1917,1828,3745,2145,2215,4360,-228,-387,-615,7165,6674,13839,2031,2752,4783,139,67,206,5853,5666,11519,199,194,393,196,103,299,3087,3530,6617,196431,207469,403900,873,1110,1983,0,0,0,197304,208579,405883,169935,211,2.4
051,Arezzo              ,164196,173040,337236,1564,1457,3021,1820,1943,3763,-256,-486,-742,4011,3919,7930,2331,3042,5373,111,40,151,3575,3478,7053,178,181,359,110,59,169,2590,3283,5873,166073,174978,341051,457,859,1316,0,0,0,166530,175837,342367,139368,210,2.4
052,Siena               ,127347,135643,262990,1205,1184,2389,1576,1628,3204,-371,-444,-815,3970,3840,7810,1548,2344,3892,75,31,106,3638,3600,7238,131,142,273,117,64,181,1707,2409,4116,127948,136395,264343,735,1213,1948,0,0,0,128683,137608,266291,113806,155,2.3
053,Grosseto            ,106091,114651,220742,886,857,1743,1383,1369,2752,-497,-512,-1009,2610,2607,5217,1427,1766,3193,75,36,111,2161,2312,4473,105,97,202,101,49,150,1745,1951,3696,106851,115666,222517,488,424,912,0,0,0,107339,116090,223429,100642,124,2.2
054,Perugia             ,312764,332236,645000,3102,2963,6065,3421,3426,6847,-319,-463,-782,7010,6884,13894,3905,5462,9367,211,120,331,6266,6376,12642,370,313,683,452,231,683,4038,5546,9584,314975,334828,649803,1508,2491,3999,0,0,0,316483,337319,653802,261818,456,2.5
055,Terni               ,109441,118526,227967,1008,955,1963,1384,1468,2852,-376,-513,-889,2178,2039,4217,1322,1978,3300,48,26,74,1889,1810,3699,121,117,238,44,40,84,1494,2076,3570,110215,119685,229900,344,404,748,0,0,0,110559,120089,230648,97902,138,2.3
056,Viterbo             ,148668,156423,305091,1308,1191,2499,1744,1580,3324,-436,-389,-825,4230,3984,8214,2486,2613,5099,42,110,152,3306,3348,6654,136,107,243,143,41,184,3173,3211,6384,150400,157945,308345,1005,1300,2305,0,0,0,151405,159245,310650,130348,154,2.4
057,Rieti               ,75792,79157,154949,656,577,1233,915,888,1803,-259,-311,-570,2199,2006,4205,888,1110,1998,18,16,34,1783,1783,3566,49,63,112,87,55,142,1186,1231,2417,76479,79638,156117,240,439,679,0,0,0,76719,80077,156796,67103,113,2.3
058,Roma                ,1916768,2096289,4013057,20236,19034,39270,17415,18314,35729,2821,720,3541,37693,38489,76182,23068,25721,48789,2041,1546,3587,37275,36123,73398,2562,2345,4907,3119,2189,5308,19846,25099,44945,1921445,2096830,4018275,17990,25278,43268,0,0,0,1939435,2122108,4061543,1633966,2956,2.5
059,Latina              ,258752,269911,528663,2646,2477,5123,2168,1978,4146,478,499,977,5105,4858,9963,3394,3575,6969,129,60,189,4611,4402,9013,172,180,352,102,81,183,3743,3830,7573,262485,273757,536242,488,483,971,0,0,0,262973,274240,537213,209533,181,2.6
060,Frosinone           ,240295,251253,491548,2266,2054,4320,2597,2360,4957,-331,-306,-637,3790,3934,7724,2213,2309,4522,133,68,201,3829,4070,7899,203,148,351,174,119,293,1930,1974,3904,241332,251834,493166,562,1087,1649,0,0,0,241894,252921,494815,192412,185,2.6
061,Caserta             ,434229,457244,891473,4990,4802,9792,3538,3436,6974,1452,1366,2818,11993,12049,24042,1867,2069,3936,701,466,1167,12201,12019,24220,248,216,464,553,379,932,1559,1970,3529,436724,459279,896003,516,1301,1817,0,0,0,437240,460580,897820,316802,238,2.8
062,Benevento           ,140135,148437,288572,1250,1258,2508,1542,1528,3070,-292,-270,-562,2387,2426,4813,577,784,1361,27,23,50,2489,2601,5090,130,113,243,34,35,69,338,484,822,139984,148281,288265,197,370,567,0,0,0,140181,148651,288832,108843,94,2.6
063,Napoli              ,1493094,1589662,3082756,18163,17300,35463,12231,12369,24600,5932,4931,10863,34111,32746,66857,3435,5256,8691,974,805,1779,44265,41401,85666,773,588,1361,472,387,859,-6990,-3569,-10559,1489389,1585090,3074479,2647,5934,8581,0,0,0,1492036,1591024,3083060,1057746,866,2.9
064,Avellino            ,214294,223355,437649,1951,1829,3780,2223,2128,4351,-272,-299,-571,4323,4178,8501,877,1381,2258,18,37,55,4070,4059,8129,264,220,484,122,108,230,762,1209,1971,214177,223634,437811,607,631,1238,0,0,0,214784,224265,439049,163182,179,2.7
065,Salerno             ,530883,558854,1089737,5219,5038,10257,5068,4980,10048,151,58,209,9909,9808,19717,3173,4242,7415,3904,4946,8850,11193,11064,22257,359,273,632,232,178,410,5202,7481,12683,535002,565230,1100232,1234,1163,2397,0,0,0,536236,566393,1102629,405092,322,2.7
066,L'Aquila            ,148805,156595,305400,1292,1191,2483,1719,1700,3419,-427,-509,-936,2846,2754,5600,1666,1975,3641,92,150,242,2765,2897,5662,159,136,295,237,110,347,1443,1736,3179,148930,156953,305883,891,869,1760,0,0,0,149821,157822,307643,125526,162,2.4
067,Teramo              ,147211,153977,301188,1398,1332,2730,1554,1419,2973,-156,-87,-243,3284,3397,6681,1707,1979,3686,993,744,1737,3085,3243,6328,211,170,381,157,116,273,2531,2591,5122,149436,156267,305703,150,214,364,0,0,0,149586,156481,306067,119387,72,2.6
068,Pescara             ,150538,161358,311896,1475,1433,2908,1515,1518,3033,-40,-85,-125,4254,4319,8573,1202,1673,2875,116,55,171,3505,3531,7036,104,102,206,193,130,323,1770,2284,4054,151974,163000,314974,294,557,851,0,0,0,152268,163557,315825,123228,88,2.6
069,Chieti              ,190492,200821,391313,1641,1666,3307,2099,2176,4275,-458,-510,-968,3840,3790,7630,2083,2234,4317,80,24,104,3535,3668,7203,279,213,492,142,107,249,2047,2060,4107,191720,201857,393577,361,514,875,0,0,0,192081,202371,394452,154712,160,2.5
070,Campobasso          ,112460,118571,231031,949,887,1836,1225,1218,2443,-276,-331,-607,1917,1847,3764,666,956,1622,41,33,74,1950,1917,3867,125,108,233,35,38,73,514,773,1287,112380,118646,231026,318,367,685,0,0,0,112698,119013,231711,90682,119,2.5
071,Foggia              ,333113,348433,681546,3395,3209,6604,3017,2930,5947,378,279,657,3259,3044,6303,2345,2813,5158,74,50,124,5275,4982,10257,352,276,628,314,133,447,-263,516,253,332307,348050,680357,921,1178,2099,0,0,0,333228,349228,682456,244033,233,2.8
072,Bari                ,782018,814346,1596364,7908,7475,15383,6357,6310,12667,1551,1165,2716,9391,8790,18181,2789,3398,6187,203,111,314,11799,10827,22626,527,348,875,585,298,883,-528,826,298,781173,813321,1594494,1868,3016,4884,0,0,0,783041,816337,1599378,577594,500,2.8
073,Taranto             ,281518,298671,580189,2835,2732,5567,2515,2408,4923,320,324,644,3602,3490,7092,544,834,1378,129,104,233,4555,4163,8718,165,88,253,54,14,68,-499,163,-336,280937,298510,579447,402,648,1050,0,0,0,281339,299158,580497,220844,203,2.6
074,Brindisi            ,193398,209433,402831,1868,1679,3547,1849,1848,3697,19,-169,-150,2108,2008,4116,649,813,1462,23,28,51,2524,2347,4871,231,182,413,23,18,41,2,302,304,193101,209043,402144,318,523,841,0,0,0,193419,209566,402985,147549,112,2.7
075,Lecce               ,386078,422861,808939,3708,3415,7123,3653,3701,7354,55,-286,-231,6148,6353,12501,1651,2034,3685,262,192,454,6408,6700,13108,518,386,904,79,27,106,1056,1466,2522,386772,422856,809628,417,1185,1602,0,0,0,387189,424041,811230,303712,226,2.7
076,Potenza             ,190059,197759,387818,1622,1493,3115,2072,1866,3938,-450,-373,-823,2030,2033,4063,1027,1351,2378,24,27,51,2717,2732,5449,395,313,708,65,70,135,-96,296,200,188724,197063,385787,789,619,1408,0,0,0,189513,197682,387195,150535,191,2.6
077,Matera              ,100103,103417,203520,910,848,1758,893,889,1782,17,-41,-24,1002,962,1964,576,791,1367,14,6,20,1435,1387,2822,89,64,153,45,21,66,23,287,310,99838,103252,203090,305,411,716,0,0,0,100143,103663,203806,74483,93,2.7
078,Cosenza             ,356077,371617,727694,3130,2994,6124,3315,3238,6553,-185,-244,-429,6067,6108,12175,3359,4112,7471,135,101,236,6853,6963,13816,542,428,970,128,161,289,2038,2769,4807,357146,373027,730173,784,1115,1899,0,0,0,357930,374142,732072,279383,311,2.6
079,Catanzaro           ,177936,188711,366647,1665,1542,3207,1691,1611,3302,-26,-69,-95,2800,2772,5572,1253,1530,2783,44,25,69,3414,3361,6775,263,196,459,60,27,87,360,743,1103,177726,188689,366415,544,696,1240,0,0,0,178270,189385,367655,140318,164,2.6
080,Reggio Calabria     ,273841,290071,563912,2821,2668,5489,2630,2619,5249,191,49,240,3668,3398,7066,3088,3465,6553,137,93,230,5147,4769,9916,278,203,481,143,87,230,1325,1897,3222,274694,290952,565646,663,1065,1728,0,0,0,275357,292017,567374,211502,294,2.7
081,Trapani             ,210722,224016,434738,1995,1922,3917,2156,2238,4394,-161,-316,-477,3525,3312,6837,1111,1357,2468,63,37,100,3744,3555,7299,182,123,305,61,27,88,712,1001,1713,210662,224116,434778,611,585,1196,0,0,0,211273,224701,435974,166839,200,2.6
082,Palermo             ,597514,643727,1241241,6592,6332,12924,5609,5818,11427,983,514,1497,12659,12603,25262,1912,2548,4460,429,238,667,14194,13505,27699,582,484,1066,660,317,977,-436,1083,647,596194,642594,1238788,1867,2730,4597,0,0,0,598061,645324,1243385,468640,531,2.6
083,Messina             ,314058,339803,653861,2884,2788,5672,3455,3602,7057,-571,-814,-1385,4902,4901,9803,1491,2001,3492,55,29,84,5693,5500,11193,290,232,522,66,42,108,399,1157,1556,313261,339148,652409,625,998,1623,0,0,0,313886,340146,654032,273656,248,2.4
084,Agrigento           ,220197,235030,455227,2253,2073,4326,2270,2196,4466,-17,-123,-140,2371,2274,4645,1689,1785,3474,113,75,188,3118,3086,6204,808,678,1486,86,68,154,161,302,463,219831,234592,454423,510,617,1127,0,0,0,220341,235209,455550,172536,202,2.6
085,Caltanissetta       ,131385,141533,272918,1385,1282,2667,1343,1335,2678,42,-53,-11,1365,1284,2649,729,795,1524,29,9,38,2099,1931,4030,233,228,461,30,27,57,-239,-98,-337,130857,140899,271756,331,483,814,0,0,0,131188,141382,272570,102403,131,2.7
086,Enna                ,83480,90196,173676,807,766,1573,893,902,1795,-86,-136,-222,904,895,1799,454,596,1050,4,10,14,1072,1180,2252,169,137,306,16,20,36,105,164,269,83327,89932,173259,172,292,464,0,0,0,83499,90224,173723,68427,69,2.5
087,Catania             ,520251,556721,1076972,5716,5559,11275,4874,4880,9754,842,679,1521,13296,13207,26503,2315,2817,5132,276,147,423,13560,13143,26703,738,593,1331,340,262,602,1249,2173,3422,520226,557101,1077327,2116,2472,4588,0,0,0,522342,559573,1081915,425346,676,2.5
088,Ragusa              ,152167,157113,309280,1588,1528,3116,1441,1467,2908,147,61,208,1787,1617,3404,1329,1483,2812,91,24,115,1875,1595,3470,164,105,269,248,62,310,920,1362,2282,152684,157917,310601,550,619,1169,0,0,0,153234,158536,311770,120837,149,2.6
