Regione,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Umbria                             ,422205,450762,872967,4110,3918,8028,4805,4894,9699,-695,-976,-1671,9188,8923,18111,5227,7440,12667,259,146,405,8155,8186,16341,491,430,921,496,271,767,5532,7622,13154,425190,454513,879703,1852,2895,4747,0,0,0,427042,457408,884450,359720,594,2.4
Lazio                              ,2640275,2853033,5493308,27112,25333,52445,24839,25120,49959,2273,213,2486,53017,53271,106288,32049,35328,67377,2363,1800,4163,50804,49726,100530,3122,2843,5965,3625,2485,6110,29878,35345,65223,2652141,2860004,5512145,20285,28587,48872,0,0,0,2672426,2888591,5561017,2233362,3589,2.5
Campania                           ,2812635,2977552,5790187,31573,30227,61800,24602,24441,49043,6971,5786,12757,62723,61207,123930,9929,13732,23661,5624,6277,11901,74218,71144,145362,1774,1410,3184,1413,1087,2500,871,7575,8446,2815276,2981514,5796790,5201,9399,14600,0,0,0,2820477,2990913,5811390,2051665,1699,2.8
Abruzzo                            ,637046,672751,1309797,5806,5622,11428,6887,6813,13700,-1081,-1191,-2272,14224,14260,28484,6658,7861,14519,1281,973,2254,12890,13339,26229,753,621,1374,729,463,1192,7791,8671,16462,642060,678077,1320137,1696,2154,3850,0,0,0,643756,680231,1323987,522853,482,2.5
Molise                             ,155922,164152,320074,1278,1229,2507,1718,1707,3425,-440,-478,-918,2747,2526,5273,931,1269,2200,68,74,142,2787,2692,5479,184,139,323,74,57,131,701,981,1682,155653,164127,319780,530,528,1058,0,0,0,156183,164655,320838,125924,165,2.5
Puglia                             ,1976125,2093744,4069869,19714,18510,38224,17391,17197,34588,2323,1313,3636,24508,23685,48193,7978,9892,17870,691,485,1176,30561,29019,59580,1793,1280,3073,1055,490,1545,-232,3273,3041,1974290,2091780,4066070,3926,6550,10476,0,0,0,1978216,2098330,4076546,1493732,1274,2.7
Basilicata                         ,290162,301176,591338,2532,2341,4873,2965,2755,5720,-433,-414,-847,3032,2995,6027,1603,2142,3745,38,33,71,4152,4119,8271,484,377,861,110,91,201,-73,583,510,288562,300315,588877,1094,1030,2124,0,0,0,289656,301345,591001,225018,284,2.6
Calabria                           ,974680,1023372,1998052,9323,8784,18107,9165,8929,18094,158,-145,13,15090,14790,29880,9244,10790,20034,350,245,595,19036,18691,37727,1345,1031,2376,410,354,764,3893,5749,9642,976335,1025629,2001964,2396,3347,5743,0,0,0,978731,1028976,2007707,755240,924,2.7
Sicilia                            ,2425178,2591683,5016861,25217,23969,49186,24010,24276,48286,1207,-307,900,43904,42834,86738,12654,14790,27444,1106,583,1689,48811,46592,95403,3376,2716,6092,1590,864,2454,3887,8035,11922,2422037,2589987,5012024,8235,9424,17659,0,0,0,2430272,2599411,5029683,1953785,2394,2.6
Sardegna                           ,814695,844748,1659443,6869,6514,13383,7485,6787,14272,-616,-273,-889,16276,15967,32243,3035,4011,7046,817,531,1348,15700,15931,31631,755,509,1264,429,250,679,3244,3819,7063,814850,844623,1659473,2473,3671,6144,0,0,0,817323,848294,1665617,659085,850,2.5
