Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Umbria,424966,461273,886239,3803,3572,7375,4913,5211,10124,-1110,-1639,-2749,7838,8572,16410,1914,2800,4714,8128,7809,15937,8048,8741,16789,1150,1062,2212,2439,2369,4808,6243,7009,13252,427904,464043,891947,2195,2600,4795,0,0,0,430099,466643,896742,381257,477,2.34
Lazio,2666925,2890351,5557276,26797,25390,52187,26408,27906,54314,389,-2516,-2127,56990,58552,115542,19986,18520,38506,188854,177413,366267,54117,54645,108762,5563,4825,10388,44217,41646,85863,161933,153369,315302,2812674,3018754,5831428,16573,22450,39023,0,0,0,2829247,3041204,5870451,2636282,3369,2.21
Campania,2796949,2972801,5769750,26926,25859,52785,25904,26330,52234,1022,-471,551,62472,60184,122656,11006,9868,20874,69188,62090,131278,73801,70035,143836,3765,2988,6753,12893,11662,24555,52207,47457,99664,2845507,3012134,5857641,4671,7653,12324,0,0,0,2850178,3019787,5869965,2149601,1473,2.72
Abruzzo,637389,675118,1312507,5591,5200,10791,7029,7386,14415,-1438,-2186,-3624,14109,14477,28586,2478,3247,5725,16584,15686,32270,13800,15139,28939,1560,1306,2866,5052,4668,9720,12759,12297,25056,646298,683001,1329299,2412,2228,4640,0,0,0,648710,685229,1333939,558407,470,2.38
Molise,152865,160476,313341,1168,1101,2269,1743,1818,3561,-575,-717,-1292,2687,2556,5243,492,564,1056,1986,1720,3706,2764,2954,5718,307,290,597,621,393,1014,1473,1203,2676,153291,160484,313775,472,478,950,0,0,0,153763,160962,314725,131216,160,2.39
Puglia,1963041,2087762,4050803,17219,16460,33679,17812,18121,35933,-593,-1661,-2254,25919,25425,51344,5267,5871,11138,29634,26090,55724,30511,29518,60029,3050,2399,5449,5950,5061,11011,21309,20408,41717,1979187,2100742,4079929,4570,5767,10337,0,0,0,1983757,2106509,4090266,1578936,1198,2.58
Basilicata,282106,294088,576194,2123,1978,4101,3084,2878,5962,-961,-900,-1861,3401,3197,6598,834,1012,1846,3174,2841,6015,3986,3988,7974,474,327,801,829,797,1626,2120,1938,4058,282424,294351,576775,841,775,1616,0,0,0,283265,295126,578391,232624,256,2.48
Calabria,954259,1003979,1958238,8525,8171,16696,9463,9303,18766,-938,-1132,-2070,14963,14593,29556,5035,4345,9380,18088,16895,34983,18372,18448,36820,1930,1448,3378,4888,4468,9356,12896,11469,24365,962905,1011520,1974425,3312,2796,6108,0,0,0,966217,1014316,1980533,794518,877,2.49
Sicilia,2418687,2581245,4999932,22811,21683,44494,24467,25174,49641,-1656,-3491,-5147,43068,42874,85942,8786,7195,15981,68675,61214,129889,48704,48257,96961,4472,3463,7935,13756,13008,26764,53597,46555,100152,2462532,2615593,5078125,8096,8716,16812,0,0,0,2470628,2624309,5094937,2034234,2803,2.5
Sardegna,801849,838530,1640379,6135,5737,11872,7874,7342,15216,-1739,-1605,-3344,15679,15847,31526,2007,2354,4361,18686,15740,34426,15988,16790,32778,1409,1184,2593,4132,3986,8118,14843,11981,26824,812157,845576,1657733,2796,3330,6126,0,0,0,814953,848906,1663859,712764,820,2.33
