"Codice","SESSO","ETA","occ","Regione"
3,2,43,55957.833333,"LOMBARDIA"
3,2,37,50633,"LOMBARDIA"
3,1,52,60949.333333,"LOMBARDIA"
3,2,25,25757.166667,"LOMBARDIA"
3,2,19,5949.8333333,"LOMBARDIA"
3,1,59,32787.166667,"LOMBARDIA"
3,1,58,37350.666667,"LOMBARDIA"
3,2,38,54891.583333,"LOMBARDIA"
3,2,40,56844.083333,"LOMBARDIA"
3,1,54,54934,"LOMBARDIA"
3,1,53,57000.083333,"LOMBARDIA"
3,1,40,71361.333333,"LOMBARDIA"
3,1,34,53584.666667,"LOMBARDIA"
3,2,45,56416.166667,"LOMBARDIA"
3,2,39,56515.75,"LOMBARDIA"
3,1,61,23553.75,"LOMBARDIA"
3,1,55,51401.75,"LOMBARDIA"
3,2,27,30214.333333,"LOMBARDIA"
3,1,41,71006.916667,"LOMBARDIA"
3,2,44,57442.25,"LOMBARDIA"
3,2,46,56461.75,"LOMBARDIA"
3,2,48,56542.75,"LOMBARDIA"
3,1,62,17900.916667,"LOMBARDIA"
3,2,26,28145.333333,"LOMBARDIA"
3,2,20,9501.1666667,"LOMBARDIA"
3,1,42,72248,"LOMBARDIA"
3,1,36,61106.416667,"LOMBARDIA"
3,2,47,56932.666667,"LOMBARDIA"
3,2,41,56392.5,"LOMBARDIA"
3,1,63,15907.75,"LOMBARDIA"
3,1,57,43295.416667,"LOMBARDIA"
3,2,21,12489.416667,"LOMBARDIA"
3,1,35,57667.166667,"LOMBARDIA"
3,1,37,62810.916667,"LOMBARDIA"
3,1,39,70923.833333,"LOMBARDIA"
3,2,42,56325.666667,"LOMBARDIA"
3,1,56,48841.25,"LOMBARDIA"
3,2,28,33486.583333,"LOMBARDIA"
3,2,22,15650.083333,"LOMBARDIA"
3,1,44,73659.583333,"LOMBARDIA"
3,1,38,68161.75,"LOMBARDIA"
3,2,49,55295.75,"LOMBARDIA"
3,2,51,48710.166667,"LOMBARDIA"
3,1,65,12733.166667,"LOMBARDIA"
3,2,29,34800.416667,"LOMBARDIA"
3,1,43,71485.666667,"LOMBARDIA"
3,1,45,71890.5,"LOMBARDIA"
3,2,56,35587.083333,"LOMBARDIA"
3,2,50,51695.833333,"LOMBARDIA"
3,1,64,14418.25,"LOMBARDIA"
3,2,15,26.833333333,"LOMBARDIA"
3,2,30,37096.5,"LOMBARDIA"
3,2,24,22222.5,"LOMBARDIA"
3,2,55,38718.583333,"LOMBARDIA"
3,2,57,30927.083333,"LOMBARDIA"
3,2,59,21845.666667,"LOMBARDIA"
3,2,53,44099.833333,"LOMBARDIA"
3,2,16,155.91666667,"LOMBARDIA"
3,2,23,18830.416667,"LOMBARDIA"
3,1,16,351.83333333,"LOMBARDIA"
3,1,47,73578.083333,"LOMBARDIA"
3,2,58,26450.25,"LOMBARDIA"
3,2,52,46630.5,"LOMBARDIA"
3,2,54,42206.583333,"LOMBARDIA"
3,2,17,735.33333333,"LOMBARDIA"
3,1,15,94.75,"LOMBARDIA"
3,1,46,72054.583333,"LOMBARDIA"
3,1,48,73391.833333,"LOMBARDIA"
3,1,50,66607.416667,"LOMBARDIA"
3,2,61,14826.5,"LOMBARDIA"
3,2,63,6520.6666667,"LOMBARDIA"
3,2,31,39203.833333,"LOMBARDIA"
3,2,33,41657.166667,"LOMBARDIA"
3,1,18,4517.8333333,"LOMBARDIA"
3,1,49,71660.666667,"LOMBARDIA"
3,2,60,18166.583333,"LOMBARDIA"
3,2,62,8337.5,"LOMBARDIA"
3,2,64,5605.5833333,"LOMBARDIA"
3,2,32,40405.916667,"LOMBARDIA"
3,1,17,1444.9166667,"LOMBARDIA"
3,1,19,9655.4166667,"LOMBARDIA"
3,1,21,18880.75,"LOMBARDIA"
3,1,23,24965.916667,"LOMBARDIA"
3,1,25,32541.166667,"LOMBARDIA"
3,2,18,2463,"LOMBARDIA"
3,1,32,50182.416667,"LOMBARDIA"
