Tipo di indicatore demografico,Sesso,Età,Territorio di origine,Seleziona periodo,Tipo di trasferimento,0
totali cancellati,femmine,65 anni e più,Trentino Alto Adige / Südtirol,2016,estero,113
totali cancellati,femmine,18-39 anni,Trentino Alto Adige / Südtirol,2015,estero,1150
totali cancellati,femmine,18-39 anni,Trentino Alto Adige / Südtirol,2016,estero,1224
totali cancellati,femmine,40-64 anni,Trentino Alto Adige / Südtirol,2015,estero,452
totali cancellati,femmine,40-64 anni,Trentino Alto Adige / Südtirol,2016,estero,497
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,142
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,125
totali cancellati,maschi,65 anni e più,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,36
totali cancellati,maschi,65 anni e più,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,37
totali cancellati,maschi,18-39 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,435
totali cancellati,maschi,18-39 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,433
totali cancellati,maschi,40-64 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,199
totali cancellati,maschi,40-64 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,227
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,140
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,130
totali cancellati,femmine,65 anni e più,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,52
totali cancellati,femmine,65 anni e più,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,46
totali cancellati,femmine,18-39 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,353
totali cancellati,femmine,18-39 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,355
totali cancellati,femmine,40-64 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,170
totali cancellati,femmine,40-64 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,211
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2015,estero,176
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2016,estero,182
totali cancellati,maschi,65 anni e più,Provincia Autonoma Bolzano / Bozen,2015,estero,54
totali cancellati,maschi,65 anni e più,Provincia Autonoma Bolzano / Bozen,2016,estero,41
totali cancellati,maschi,18-39 anni,Provincia Autonoma Bolzano / Bozen,2015,estero,774
totali cancellati,maschi,18-39 anni,Provincia Autonoma Bolzano / Bozen,2016,estero,800
totali cancellati,maschi,40-64 anni,Provincia Autonoma Bolzano / Bozen,2015,estero,281
totali cancellati,maschi,40-64 anni,Provincia Autonoma Bolzano / Bozen,2016,estero,271
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2015,estero,164
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2016,estero,190
totali cancellati,femmine,65 anni e più,Provincia Autonoma Bolzano / Bozen,2015,estero,59
totali cancellati,femmine,65 anni e più,Provincia Autonoma Bolzano / Bozen,2016,estero,46
totali cancellati,femmine,18-39 anni,Provincia Autonoma Bolzano / Bozen,2015,estero,746
totali cancellati,femmine,18-39 anni,Provincia Autonoma Bolzano / Bozen,2016,estero,792
totali cancellati,femmine,40-64 anni,Provincia Autonoma Bolzano / Bozen,2015,estero,263
totali cancellati,femmine,40-64 anni,Provincia Autonoma Bolzano / Bozen,2016,estero,284
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Trento,2015,in altre regioni,197
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Trento,2016,in altre regioni,220
totali cancellati,maschi,65 anni e più,Provincia Autonoma Trento,2015,in altre regioni,80
totali cancellati,maschi,65 anni e più,Provincia Autonoma Trento,2016,in altre regioni,92
totali cancellati,maschi,18-39 anni,Provincia Autonoma Trento,2015,in altre regioni,684
totali cancellati,maschi,18-39 anni,Provincia Autonoma Trento,2016,in altre regioni,631
totali cancellati,maschi,40-64 anni,Provincia Autonoma Trento,2015,in altre regioni,333
totali cancellati,maschi,40-64 anni,Provincia Autonoma Trento,2016,in altre regioni,363
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Trento,2015,in altre regioni,205
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Trento,2016,in altre regioni,205
totali cancellati,femmine,65 anni e più,Provincia Autonoma Trento,2015,in altre regioni,96
totali cancellati,femmine,65 anni e più,Provincia Autonoma Trento,2016,in altre regioni,119
totali cancellati,femmine,18-39 anni,Provincia Autonoma Trento,2015,in altre regioni,653
totali cancellati,femmine,18-39 anni,Provincia Autonoma Trento,2016,in altre regioni,671
totali cancellati,femmine,40-64 anni,Provincia Autonoma Trento,2015,in altre regioni,323
totali cancellati,femmine,40-64 anni,Provincia Autonoma Trento,2016,in altre regioni,357
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Trento,2015,estero,170
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Trento,2016,estero,165
totali cancellati,maschi,65 anni e più,Provincia Autonoma Trento,2015,estero,44
totali cancellati,maschi,65 anni e più,Provincia Autonoma Trento,2016,estero,44
totali cancellati,maschi,18-39 anni,Provincia Autonoma Trento,2015,estero,380
totali cancellati,maschi,18-39 anni,Provincia Autonoma Trento,2016,estero,424
totali cancellati,maschi,40-64 anni,Provincia Autonoma Trento,2015,estero,195
totali cancellati,maschi,40-64 anni,Provincia Autonoma Trento,2016,estero,225
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Trento,2015,estero,177
totali cancellati,femmine,fino a 17 anni,Provincia Autonoma Trento,2016,estero,186
totali cancellati,femmine,65 anni e più,Provincia Autonoma Trento,2015,estero,50
totali cancellati,femmine,65 anni e più,Provincia Autonoma Trento,2016,estero,67
totali cancellati,femmine,18-39 anni,Provincia Autonoma Trento,2015,estero,404
totali cancellati,femmine,18-39 anni,Provincia Autonoma Trento,2016,estero,432
totali cancellati,femmine,40-64 anni,Provincia Autonoma Trento,2015,estero,189
totali cancellati,femmine,40-64 anni,Provincia Autonoma Trento,2016,estero,213
totali cancellati,maschi,fino a 17 anni,Veneto,2015,in altre regioni,1560
totali cancellati,maschi,fino a 17 anni,Veneto,2016,in altre regioni,1627
totali cancellati,maschi,65 anni e più,Veneto,2015,in altre regioni,572
totali cancellati,maschi,65 anni e più,Veneto,2016,in altre regioni,548
totali cancellati,maschi,18-39 anni,Veneto,2015,in altre regioni,4513
totali cancellati,maschi,18-39 anni,Veneto,2016,in altre regioni,4777
totali cancellati,maschi,40-64 anni,Veneto,2015,in altre regioni,2595
totali cancellati,maschi,40-64 anni,Veneto,2016,in altre regioni,2781
totali cancellati,femmine,fino a 17 anni,Veneto,2015,in altre regioni,1488
totali cancellati,femmine,fino a 17 anni,Veneto,2016,in altre regioni,1492
totali cancellati,femmine,65 anni e più,Veneto,2015,in altre regioni,796
totali cancellati,femmine,65 anni e più,Veneto,2016,in altre regioni,838
totali cancellati,femmine,18-39 anni,Veneto,2015,in altre regioni,4745
totali cancellati,femmine,18-39 anni,Veneto,2016,in altre regioni,4950
totali cancellati,femmine,40-64 anni,Veneto,2015,in altre regioni,2462
totali cancellati,femmine,40-64 anni,Veneto,2016,in altre regioni,2655
totali cancellati,maschi,fino a 17 anni,Veneto,2015,estero,1869
totali cancellati,maschi,fino a 17 anni,Veneto,2016,estero,1876
totali cancellati,maschi,65 anni e più,Veneto,2015,estero,297
totali cancellati,maschi,65 anni e più,Veneto,2016,estero,264
totali cancellati,maschi,18-39 anni,Veneto,2015,estero,3513
totali cancellati,maschi,18-39 anni,Veneto,2016,estero,3657
totali cancellati,maschi,40-64 anni,Veneto,2015,estero,2297
totali cancellati,maschi,40-64 anni,Veneto,2016,estero,2259
totali cancellati,femmine,fino a 17 anni,Veneto,2015,estero,1675
totali cancellati,femmine,fino a 17 anni,Veneto,2016,estero,1797
totali cancellati,femmine,65 anni e più,Veneto,2015,estero,366
totali cancellati,femmine,65 anni e più,Veneto,2016,estero,377
totali cancellati,femmine,18-39 anni,Veneto,2015,estero,3314
totali cancellati,femmine,18-39 anni,Veneto,2016,estero,3620
totali cancellati,femmine,40-64 anni,Veneto,2015,estero,1866
totali cancellati,femmine,40-64 anni,Veneto,2016,estero,1949
totali cancellati,maschi,fino a 17 anni,Friuli-Venezia Giulia,2015,in altre regioni,538
totali cancellati,maschi,fino a 17 anni,Friuli-Venezia Giulia,2016,in altre regioni,536
totali cancellati,maschi,65 anni e più,Friuli-Venezia Giulia,2015,in altre regioni,190
