"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Italy","Age reached during the year","41 years","Number","Females","1,993",""
"2006","Italy","Age reached during the year","42 years","Number","Total","3,749",""
"2006","Italy","Age reached during the year","42 years","Number","Males","1,705",""
"2006","Italy","Age reached during the year","42 years","Number","Females","2,044",""
"2006","Italy","Age reached during the year","43 years","Number","Total","3,468",""
"2006","Italy","Age reached during the year","43 years","Number","Males","1,616",""
"2006","Italy","Age reached during the year","43 years","Number","Females","1,852",""
"2006","Italy","Age reached during the year","44 years","Number","Total","3,292",""
"2006","Italy","Age reached during the year","44 years","Number","Males","1,479",""
"2006","Italy","Age reached during the year","44 years","Number","Females","1,813",""
"2006","Italy","Age reached during the year","45 years","Number","Total","2,979",""
"2006","Italy","Age reached during the year","45 years","Number","Males","1,257",""
"2006","Italy","Age reached during the year","45 years","Number","Females","1,722",""
"2006","Italy","Age reached during the year","46 years","Number","Total","3,117",""
"2006","Italy","Age reached during the year","46 years","Number","Males","1,312",""
"2006","Italy","Age reached during the year","46 years","Number","Females","1,805",""
"2006","Italy","Age reached during the year","47 years","Number","Total","2,756",""
"2006","Italy","Age reached during the year","47 years","Number","Males","1,141",""
"2006","Italy","Age reached during the year","47 years","Number","Females","1,615",""
"2006","Italy","Age reached during the year","48 years","Number","Total","2,562",""
"2006","Italy","Age reached during the year","48 years","Number","Males","1,093",""
"2006","Italy","Age reached during the year","48 years","Number","Females","1,469",""
"2006","Italy","Age reached during the year","49 years","Number","Total","2,336",""
"2006","Italy","Age reached during the year","49 years","Number","Males","974",""
"2006","Italy","Age reached during the year","49 years","Number","Females","1,362",""
"2006","Italy","Age reached during the year","50 years","Number","Total","2,182",""
"2006","Italy","Age reached during the year","50 years","Number","Males","877",""
"2006","Italy","Age reached during the year","50 years","Number","Females","1,305",""
"2006","Italy","Age reached during the year","51 years","Number","Total","2,149",""
"2006","Italy","Age reached during the year","51 years","Number","Males","820",""
"2006","Italy","Age reached during the year","51 years","Number","Females","1,329",""
"2006","Italy","Age reached during the year","52 years","Number","Total","1,888",""
"2006","Italy","Age reached during the year","52 years","Number","Males","702",""
"2006","Italy","Age reached during the year","52 years","Number","Females","1,186",""
"2006","Italy","Age reached during the year","53 years","Number","Total","1,717",""
"2006","Italy","Age reached during the year","53 years","Number","Males","659",""
"2006","Italy","Age reached during the year","53 years","Number","Females","1,058",""
"2006","Italy","Age reached during the year","54 years","Number","Total","1,644",""
"2006","Italy","Age reached during the year","54 years","Number","Males","622",""
"2006","Italy","Age reached during the year","54 years","Number","Females","1,022",""
"2006","Italy","Age reached during the year","55 years","Number","Total","1,510",""
"2006","Italy","Age reached during the year","55 years","Number","Males","573",""
"2006","Italy","Age reached during the year","55 years","Number","Females","937",""
"2006","Italy","Age reached during the year","56 years","Number","Total","1,466",""
"2006","Italy","Age reached during the year","56 years","Number","Males","577",""
"2006","Italy","Age reached during the year","56 years","Number","Females","889",""
"2006","Italy","Age reached during the year","57 years","Number","Total","1,408",""
"2006","Italy","Age reached during the year","57 years","Number","Males","571",""
"2006","Italy","Age reached during the year","57 years","Number","Females","837",""
"2006","Italy","Age reached during the year","58 years","Number","Total","1,275",""
"2006","Italy","Age reached during the year","58 years","Number","Males","541",""
"2006","Italy","Age reached during the year","58 years","Number","Females","734",""
"2006","Italy","Age reached during the year","59 years","Number","Total","1,149",""
"2006","Italy","Age reached during the year","59 years","Number","Males","512",""
"2006","Italy","Age reached during the year","59 years","Number","Females","637",""
"2006","Italy","Age reached during the year","60 years","Number","Total","1,172",""
"2006","Italy","Age reached during the year","60 years","Number","Males","512",""
"2006","Italy","Age reached during the year","60 years","Number","Females","660",""
"2006","Italy","Age reached during the year","61 years","Number","Total","915",""
"2006","Italy","Age reached during the year","61 years","Number","Males","429",""
"2006","Italy","Age reached during the year","61 years","Number","Females","486",""
"2006","Italy","Age reached during the year","62 years","Number","Total","919",""
"2006","Italy","Age reached during the year","62 years","Number","Males","424",""
"2006","Italy","Age reached during the year","62 years","Number","Females","495",""
"2006","Italy","Age reached during the year","63 years","Number","Total","914",""
"2006","Italy","Age reached during the year","63 years","Number","Males","464",""
"2006","Italy","Age reached during the year","63 years","Number","Females","450",""
"2006","Italy","Age reached during the year","64 years","Number","Total","876",""
"2006","Italy","Age reached during the year","64 years","Number","Males","424",""
"2006","Italy","Age reached during the year","64 years","Number","Females","452",""
"2006","Italy","Age reached during the year","65 years","Number","Total","1,048",""
"2006","Italy","Age reached during the year","65 years","Number","Males","566",""
"2006","Italy","Age reached during the year","65 years","Number","Females","482",""
"2006","Italy","Age reached during the year","66 years","Number","Total","1,001",""
"2006","Italy","Age reached during the year","66 years","Number","Males","512",""
"2006","Italy","Age reached during the year","66 years","Number","Females","489",""
"2006","Italy","Age reached during the year","67 years","Number","Total","832",""
"2006","Italy","Age reached during the year","67 years","Number","Males","449",""
"2006","Italy","Age reached during the year","67 years","Number","Females","383",""
"2006","Italy","Age reached during the year","68 years","Number","Total","673",""
"2006","Italy","Age reached during the year","68 years","Number","Males","319",""
"2006","Italy","Age reached during the year","68 years","Number","Females","354",""
"2006","Italy","Age reached during the year","69 years","Number","Total","671",""
"2006","Italy","Age reached during the year","69 years","Number","Males","368",""
"2006","Italy","Age reached during the year","69 years","Number","Females","303",""
"2006","Italy","Age reached during the year","70 years","Number","Total","585",""
"2006","Italy","Age reached during the year","70 years","Number","Males","322",""
"2006","Italy","Age reached during the year","70 years","Number","Females","263",""
"2006","Italy","Age reached during the year","71 years","Number","Total","566",""
"2006","Italy","Age reached during the year","71 years","Number","Males","292",""
"2006","Italy","Age reached during the year","71 years","Number","Females","274",""
"2006","Italy","Age reached during the year","72 years","Number","Total","480",""
"2006","Italy","Age reached during the year","72 years","Number","Males","244",""
"2006","Italy","Age reached during the year","72 years","Number","Females","236",""
"2006","Italy","Age reached during the year","73 years","Number","Total","407",""
"2006","Italy","Age reached during the year","73 years","Number","Males","215",""
"2006","Italy","Age reached during the year","73 years","Number","Females","192",""
"2006","Italy","Age reached during the year","74 years","Number","Total","366",""
"2006","Italy","Age reached during the year","74 years","Number","Males","187",""
"2006","Italy","Age reached during the year","74 years","Number","Females","179",""
"2006","Italy","Age reached during the year","75 years","Number","Total","337",""
"2006","Italy","Age reached during the year","75 years","Number","Males","179",""
"2006","Italy","Age reached during the year","75 years","Number","Females","158",""
"2006","Italy","Age reached during the year","76 years","Number","Total","322",""
"2006","Italy","Age reached during the year","76 years","Number","Males","173",""
"2006","Italy","Age reached during the year","76 years","Number","Females","149",""
"2006","Italy","Age reached during the year","77 years","Number","Total","234",""
"2006","Italy","Age reached during the year","77 years","Number","Males","127",""
"2006","Italy","Age reached during the year","77 years","Number","Females","107",""
"2006","Italy","Age reached during the year","78 years","Number","Total","205",""
"2006","Italy","Age reached during the year","78 years","Number","Males","105",""
"2006","Italy","Age reached during the year","78 years","Number","Females","100",""
"2006","Italy","Age reached during the year","79 years","Number","Total","184",""
"2006","Italy","Age reached during the year","79 years","Number","Males","84",""
"2006","Italy","Age reached during the year","79 years","Number","Females","100",""
"2006","Italy","Age reached during the year","80 years","Number","Total","162",""
"2006","Italy","Age reached during the year","80 years","Number","Males","73",""
"2006","Italy","Age reached during the year","80 years","Number","Females","89",""
"2006","Italy","Age reached during the year","81 years","Number","Total","156",""
"2006","Italy","Age reached during the year","81 years","Number","Males","66",""
"2006","Italy","Age reached during the year","81 years","Number","Females","90",""
"2006","Italy","Age reached during the year","82 years","Number","Total","121",""
"2006","Italy","Age reached during the year","82 years","Number","Males","59",""
"2006","Italy","Age reached during the year","82 years","Number","Females","62",""
"2006","Italy","Age reached during the year","83 years","Number","Total","93",""
"2006","Italy","Age reached during the year","83 years","Number","Males","42",""
"2006","Italy","Age reached during the year","83 years","Number","Females","51",""
"2006","Italy","Age reached during the year","84 years","Number","Total","93",""
"2006","Italy","Age reached during the year","84 years","Number","Males","46",""
"2006","Italy","Age reached during the year","84 years","Number","Females","47",""
"2006","Italy","Age reached during the year","85 years","Number","Total","75",""
"2006","Italy","Age reached during the year","85 years","Number","Males","35",""
"2006","Italy","Age reached during the year","85 years","Number","Females","40",""
"2006","Italy","Age reached during the year","86 years","Number","Total","78",""
"2006","Italy","Age reached during the year","86 years","Number","Males","35",""
"2006","Italy","Age reached during the year","86 years","Number","Females","43",""
"2006","Italy","Age reached during the year","87 years","Number","Total","33",""
"2006","Italy","Age reached during the year","87 years","Number","Males","12",""
"2006","Italy","Age reached during the year","87 years","Number","Females","21",""
"2006","Italy","Age reached during the year","88 years","Number","Total","31",""
"2006","Italy","Age reached during the year","88 years","Number","Males","8",""
"2006","Italy","Age reached during the year","88 years","Number","Females","23",""
"2006","Italy","Age reached during the year","89 years","Number","Total","26",""
"2006","Italy","Age reached during the year","89 years","Number","Males","5",""
"2006","Italy","Age reached during the year","89 years","Number","Females","21",""
"2006","Italy","Age reached during the year","90 years","Number","Total","24",""
"2006","Italy","Age reached during the year","90 years","Number","Males","7",""
"2006","Italy","Age reached during the year","90 years","Number","Females","17",""
"2006","Italy","Age reached during the year","91 years","Number","Total","22",""
"2006","Italy","Age reached during the year","91 years","Number","Males","8",""
"2006","Italy","Age reached during the year","91 years","Number","Females","14",""
"2006","Italy","Age reached during the year","92 years","Number","Total","24",""
"2006","Italy","Age reached during the year","92 years","Number","Males","10",""
"2006","Italy","Age reached during the year","92 years","Number","Females","14",""
"2006","Italy","Age reached during the year","93 years","Number","Total","18",""
"2006","Italy","Age reached during the year","93 years","Number","Males","7",""
"2006","Italy","Age reached during the year","93 years","Number","Females","11",""
"2006","Italy","Age reached during the year","94 years","Number","Total","12",""
"2006","Italy","Age reached during the year","94 years","Number","Males","3",""
"2006","Italy","Age reached during the year","94 years","Number","Females","9",""
"2006","Italy","Age reached during the year","95 years","Number","Total","10",""
"2006","Italy","Age reached during the year","95 years","Number","Males","2",""
